Algorithm,queryName,numRelations,resultSetSize,totalTupesRemoved
TTJHP,org.zhu45.treetracker.benchmark.job.q1.Query13,5,4073078,1254246
TTJHP,org.zhu45.treetracker.benchmark.job.q2.Query2,5,34863638,639210
TTJHP,org.zhu45.treetracker.benchmark.job.q3.Query32,4,235420417,2765
TTJHP,org.zhu45.treetracker.benchmark.job.q4.Query44,5,10424626,672327
TTJHP,org.zhu45.treetracker.benchmark.job.q5.Query53,5,67371414,3478317
TTJHP,org.zhu45.treetracker.benchmark.job.q6.Query62,5,215765477,25308588
TTJHP,org.zhu45.treetracker.benchmark.job.q7.Query7,8,54907575,32817291
TTJHP,org.zhu45.treetracker.benchmark.job.q8c.Query8c4,7,87239860,13935822
TTJHP,org.zhu45.treetracker.benchmark.job.q9.Query9,8,46625835,16014568
TTJHP,org.zhu45.treetracker.benchmark.job.q10.Query103,7,36607784,26095354
TTJHP,org.zhu45.treetracker.benchmark.job.q11.Query11,8,4139776,1515301
TTJHP,org.zhu45.treetracker.benchmark.job.q12.Query12,7,0,12879296
TTJHP,org.zhu45.treetracker.benchmark.job.q13.Query13,8,0,12879296
TTJHP,org.zhu45.treetracker.benchmark.job.q14.Query146,7,0,5708432
TTJHP,org.zhu45.treetracker.benchmark.job.q15.Query153,9,17017908467,1347906
TTJHP,org.zhu45.treetracker.benchmark.job.q16.Query161,7,3185061897,18302502
TTJHP,org.zhu45.treetracker.benchmark.job.q17.Query172,7,3101350543,24770676
TTJHP,org.zhu45.treetracker.benchmark.job.q18.Query181,6,0,33912743
TTJHP,org.zhu45.treetracker.benchmark.job.q19.Query191,10,3129008894,15991617
TTJHP,org.zhu45.treetracker.benchmark.job.q20.Query20,9,82254916,2271077
TTJHP,org.zhu45.treetracker.benchmark.job.q21.Query211,9,882246380,1515301
TTJHP,org.zhu45.treetracker.benchmark.job.q22.Query22,10,0,1521893
TTJHP,org.zhu45.treetracker.benchmark.job.q23.Query23,11,5527061593,17799
TTJHP,org.zhu45.treetracker.benchmark.job.q25.Query25,8,0,48187435
TTJHP,org.zhu45.treetracker.benchmark.job.q26.Query26,11,248440655,1169078
TTJHP,org.zhu45.treetracker.benchmark.job.q27.Query273,10,166880211,672755
TTJHP,org.zhu45.treetracker.benchmark.job.q28.Query28,12,0,456272
TTJHP,org.zhu45.treetracker.benchmark.job.q30.Query30,10,0,3624051
TTJHP,org.zhu45.treetracker.benchmark.job.q31.Query311,10,0,1521893
TTJHP,org.zhu45.treetracker.benchmark.job.q32.Query32,5,288192,4024768
TTJHP,org.zhu45.treetracker.benchmark.job.q33.Query331,8,426861,1512876
Yannakakis,org.zhu45.treetracker.benchmark.job.q1.Query13,5,3917834,3669908
Yannakakis,org.zhu45.treetracker.benchmark.job.q2.Query2,5,31738627,4063349
Yannakakis,org.zhu45.treetracker.benchmark.job.q3.Query32,4,62438958,8604941
Yannakakis,org.zhu45.treetracker.benchmark.job.q4.Query44,5,10416484,4037594
Yannakakis,org.zhu45.treetracker.benchmark.job.q5.Query53,5,23347821,4536188
Yannakakis,org.zhu45.treetracker.benchmark.job.q6.Query62,5,213686773,29105529
Yannakakis,org.zhu45.treetracker.benchmark.job.q7.Query7,8,3159400,44918006
Yannakakis,org.zhu45.treetracker.benchmark.job.q8c.Query8c4,7,36322765,32033626
Yannakakis,org.zhu45.treetracker.benchmark.job.q9.Query9,8,18728773,39616574
Yannakakis,org.zhu45.treetracker.benchmark.job.q10.Query103,7,34739085,29892738
