Algorithm,Query1a,Query1b,Query1c,Query1d,Query2a,Query2b,Query2c,Query2d,Query3a,Query3b,Query3c,Query4a,Query4b,Query4c,Query5a,Query5b,Query5c,Query6a,Query6b,Query6c,Query6d,Query6e,Query6f,Query7a,Query7b,Query7c,Query8a,Query8b,Query8c,Query8d,Query9a,Query9b,Query9c,Query9d,Query10a,Query10b,Query10c,Query11a,Query11b,Query11c,Query11d,Query12a,Query12b,Query12c,Query13a,Query13b,Query13c,Query13d,Query14a,Query14b,Query14c,Query15a,Query15b,Query15c,Query15d,Query16a,Query16b,Query16c,Query16d,Query17a,Query17b,Query17c,Query17d,Query17e,Query17f,Query18a,Query18b,Query18c,Query19a,Query19b,Query19c,Query19d,Query20a,Query20b,Query20c,Query21a,Query21b,Query21c,Query22a,Query22b,Query22c,Query22d,Query23a,Query23b,Query23c,Query24a,Query24b,Query25a,Query25b,Query25c,Query26a,Query26b,Query26c,Query27a,Query27b,Query27c,Query28a,Query28b,Query28c,Query29a,Query29b,Query29c,Query30a,Query30b,Query30c,Query31a,Query31b,Query31c,Query32a,Query32b,Query33a,Query33b,Query33c
TTJHP_BF,1116.5565432833334,1017.735144176667,540.330902209,1143.80680684,2636.77142246,2665.936129540001,2643.54955818,2679.318462760001,1729.26465214,1554.91579216,2160.6607825600004,1757.4061975299999,1466.6309423500002,1917.0520610200003,556.788938555,522.2174602490002,976.2124820533337,20641.645516059998,19656.29258024001,20136.056511000003,20873.47937882,20691.538688539997,21866.372341679995,8313.781360179999,8288.721870620002,9642.857054839998,1171.75537425,550.7097639399999,28749.23537062,25211.97876472001,1764.8746392300004,1570.23580073,2682.0830180000003,3304.4154807599994,1870.3035006100001,2234.3253853,3750.81818228,1991.5876228000006,1345.15774834,2099.2027211800005,2414.05535128,1259.1322860300002,5363.222046280001,1479.82403861,6351.1394898,5313.938002979999,5380.119566339999,9558.176212740002,2175.38811172,1402.2950927299999,2386.5412856000003,1663.11041145,1541.7500493999999,2245.9365129299995,2301.21655371,22091.670784780003,25495.176398719992,22964.266814880004,22440.106485120003,23409.95671648,24509.65783888,23973.409960779998,23861.6256316,24337.250646199995,24645.93834028,5803.866678540001,1335.08783634,2533.883033840001,2089.2319018899993,1715.7296198799997,2700.8541971000004,8695.565369239997,22750.55737952,8821.519054659999,22976.28710298,2264.4327168700006,2283.4162802799997,2532.386142080001,2127.9524127599993,1880.75549483,2848.8068134400005,4169.887006840002,2289.7478314599994,2250.0158197399996,2430.46126058,3986.0936927200005,3292.904450479999,3317.9774894399998,2370.9304941,3367.8747261599997,22345.57021736,21285.20860636,23375.4319446,2323.25399208,2144.84219899,2746.63126736,3560.0481420799997,1864.01649382,2554.1769766199996,3336.920774399999,3396.306808620001,4141.37733924,2917.88438258,2670.64126384,3216.4751076799994,4055.9353456,2384.68092642,4686.234378679999,2556.50542918,2546.2885347199995,2867.3784253799995,2769.597923380001,2935.1970076000002
HASH_JOIN,1069.4129897199996,794.7596650850002,526.8999757120001,960.2122354699999,2417.39110264,2331.3084363400003,1921.14620735,2046.3106634499998,1324.57959635,1083.3732270266667,2257.6474015999997,1514.5968931400007,1074.1980002199998,2160.928338139999,585.3407198600001,526.319243293,905.2954993400001,20603.25392504,20235.06070264,20423.518396820004,21276.948885119997,21135.380830179998,22406.26105868,8676.250429799999,8419.07262316,8954.30097324,1172.1389035500001,568.788007355,20046.575350119998,18058.230396760006,2250.2215927699995,1750.0476134800003,2588.69929284,3322.6874983400007,1819.5408755899998,1849.1944860200006,3237.396511060002,1553.3635445399996,1319.7229923500001,2102.4965044600003,1950.8121832599995,1255.5891283000005,5062.307068519998,1481.9795024900002,6590.731162100001,5522.14112262,5321.073159840001,7477.159322239999,1738.5082295299999,1459.5080520300005,2311.8714335,1684.1558283600002,1472.8333354000001,2434.38757104,2299.899008629999,21964.27764982,24736.58395112001,22932.540285939995,22746.28726324,21933.742755860007,22149.844839939993,21523.87222848,21589.538577220006,23901.041742760004,23495.284953019993,6693.47375622,1312.3490792899997,2323.91148598,2518.6080187800003,1759.44650749,3054.2986531000006,9963.33929174,22717.622018160004,20196.59757394,22306.71055843999,1817.4151698600012,1858.6870091300007,2300.40339658,2162.07758305,2103.2364386299996,2868.8512481400003,5059.976862799999,2341.1073116200005,2264.9792991,2319.6444350800007,3533.2791934800002,3184.09026434,2950.776978220001,2301.0971165799997,3530.5468696999997,22196.62261929999,22095.832447260003,22581.0378117,1910.5824594899998,1714.8132727800007,2374.624367640001,2647.962583220001,1878.4680686500003,2757.2887990400004,3473.2126695,3356.8217069999996,4424.062265559999,2800.2284832799987,2338.8230409400007,3581.4916203000007,3687.3543471999997,2502.39357872,4223.985374940001,2274.0410678399994,2245.13500518,2836.21230838,2742.472343919999,2888.23693578
TTJHP_BG,1111.4573089133332,1022.6159553066667,544.13139806,1152.2296695700002,2660.3993839599993,2624.1088649400003,2587.1576975600005,2640.61380108,1748.8286032799997,1589.5227702599996,2091.00384758,1725.72868672,1459.4476665099999,1870.6672157899995,563.589927035,520.8757177010002,982.1619650899997,20418.954998479996,19793.900383860004,20219.395996379993,20752.455419259997,20417.26325324,22098.226292180003,8299.83174172,8274.5916892,9382.2674741,1199.54754219,552.336933242,28796.81109182,24659.739668620005,1766.0646948,1543.4151411900007,2657.589427599999,3094.3999710200005,1840.2346585699997,2179.1728559300004,3850.7928728000006,1975.7418200399998,1349.6020992300002,2158.0331864699997,2357.4075864799997,1212.9510092199998,5217.11706224,1398.59441051,6219.053370980002,5268.99044302,5325.069808000001,9733.34295054,2193.2085664700003,1422.9004639100003,2343.5881739400006,1700.2858280599996,1522.3009239200005,2293.70012518,2314.1803420799997,22212.82253234,25833.3908225,22911.987443579997,22843.487282899994,23682.975982479995,24497.532618059995,23955.92391426,24326.18731752,24205.90047454,24328.771190560004,5939.2229143800005,1316.88003266,2554.1263860200006,2033.75918502,1711.5927781,2645.5289181199996,8354.024335760001,22519.27420346,9122.4888091,23332.179629060003,2245.8419679999997,2222.9387288899998,2611.73845916,2100.6581638699995,1886.6277714699995,2787.7519287800005,4109.3303889,2348.8117921,2265.8885006399996,2425.41594422,3704.602320480001,3305.9880764999994,3263.1784455800002,2383.3375232299995,3515.079717279998,22316.44101558,21278.871053799998,23578.881834519998,2364.6150432499985,2079.30715437,2697.91021144,3500.6669109599998,1845.6735918700003,2550.7950866,3398.35654922,3425.04160752,4087.576161079999,2897.4490868200005,2704.8767632399995,3249.14630362,4102.5262872,2465.3079871,4643.5197611,2529.7051274999994,2565.456351460001,2853.5754788200006,2774.6637999799987,2964.8407772800006
TTJHP_NO_NG,1107.72113619,1015.3588439533335,533.313632534,1141.0787387100004,2676.8889915599993,2633.4600586599995,2610.54102846,2696.68887896,1802.3574618600003,1576.98992018,2096.8169426000004,1724.60622241,1492.51756826,1967.1160356999999,556.6504795999999,521.6014328309999,988.4581196433335,20546.34960154,19701.085455520002,20320.923717859994,20672.02889986,20325.94094998,21934.921580659993,8474.06785404,8127.135906980002,9463.862925880003,1182.7050916300002,547.5242816129999,28345.776730240003,25017.489989340003,1791.7327306700004,1529.7944072499997,2644.22630062,3275.177256079998,1856.7588351799998,2227.9102191,3809.747160059999,1994.6371690600001,1330.43182329,1981.6864260399996,2420.75917932,1229.0306945399998,5298.56903816,1503.0259662200003,5973.11596666,5286.38727286,5323.30675366,9260.53889726,2183.65358198,1381.7562836000004,2301.4790565,1656.4064838200002,1491.0622724899995,2282.08687512,2369.8532542599996,22022.51060312,25908.844712019996,22628.326852259994,22276.064496019993,23212.22979304,22644.617997659996,22345.34767872,22484.72571296,24003.69024434,23516.39430146001,5955.756583159999,1311.5533158099997,2589.2260700600004,2041.66475956,1715.0971335199997,2628.5804752400013,8233.438985460003,22500.069275979997,9141.291041919998,22127.334585200002,2275.4433849099996,2294.3978365200005,2614.7419860600003,2001.8630200199998,1912.0261028400002,2335.8227735400005,3020.4254501400014,2262.31497626,2280.7778120500006,2406.65480146,3433.243100400001,3241.829161,3277.3390346799993,2353.4314840500006,3415.0858188999996,22344.60007342001,21310.041343900004,23478.472774440004,2287.9099547100004,2103.1175721899995,2739.85439456,2607.92291554,1882.5262150199999,2213.0301403600006,3373.804021219999,3383.8214897,4084.196080600001,2893.88744002,2630.990310559999,3233.9847940599993,3894.66920558,2439.4483366000004,4519.283032939999,2538.1830738,2597.450696459999,2774.48505796,2720.24771642,2899.4696373799998
TTJHP,795.3529317733331,712.6821203683335,320.0510190314286,848.2616534799998,1614.1033034000002,1593.9303459299997,1550.4159355299998,1689.2437452999993,828.5088499333335,627.9456275083334,1125.173809663333,797.79318736,510.60754278700006,1004.1843441733333,540.635149474,388.7662273380001,798.7656497333334,3247.6001887200005,3092.614545060001,3020.8107002800016,3443.5916055399994,3508.768615640001,22307.39060994,2859.601921039999,2689.6523558399995,3930.8357463799994,1130.6027024100001,535.2813349350002,7712.360194959999,5755.50602244,1592.2505405499999,1361.98996606,2461.46800236,3126.41098406,1416.0192524500003,1680.06867828,2105.9798185699997,1091.2641680699999,838.6239164333332,1327.7007428200002,1397.33216443,780.1162580466668,2163.9876853000005,994.5878664833333,2908.63214978,2038.1767203399995,2036.83278795,3714.618737,1174.3559065800002,874.1622844433333,1328.76764018,1032.2180765666667,869.5809022100003,1668.02436771,1596.6868980100003,5701.326041820002,24915.857884959998,6230.244892780001,6050.45084722,5244.100458180001,4548.022240360002,4301.391245220001,4370.821841140002,23561.37761255999,6142.68308784,2883.5796087599992,962.6757188366666,1957.6654972700007,1789.0141219700004,1560.11712179,2417.22247,5342.328475640001,4674.746330679998,3828.113512240001,4783.76530346,1303.4045731200001,1327.8234305199999,1663.7500855099995,1412.6200011399999,1395.85283446,1556.0239908799997,2137.7790524700004,1625.6860896200003,1692.4256423199997,1685.01248999,2949.465852200001,2808.4768206999997,2429.7413098999996,1813.15584866,2558.3071026599996,4871.3493474,4735.3454107200005,5043.652431579999,1399.3215032399999,1194.3871816099997,1799.2581717300002,1707.9363611500003,1310.0773849299997,1652.0009705699997,2991.696444300001,2859.8473413999996,3764.785679819999,2320.2724175,1982.24573141,2624.782782199999,3076.6174126199994,1896.4802364799993,3537.68942398,1544.3012668800002,1559.3417889399996,2467.9368562599993,2382.5428524399995,2644.4091471799993
YannakakisB,995.7396008666661,777.4878844466667,386.0215059273334,945.0118927600001,1845.9303463100002,1663.1952187999998,1161.8984696100001,3018.0021815000005,1288.9232131499998,1110.8397589333335,1609.7593876600001,1259.9629134500005,789.3245890733335,1678.9391753400005,50.70896844232493,516.4188036079998,1482.7307765300004,5639.605804320001,5240.075013939999,5521.25056962,6069.0352475599975,5866.208995159999,52804.297644040016,5698.787115660001,5415.581904959999,6059.717188040001,1287.8266754700005,640.4734186466668,12937.272806380002,9176.87371906,2397.5102624200003,1674.147533480001,3471.53133058,4211.256321440001,1662.5261703799997,1732.3247294400007,3097.51866872,1302.7168937000001,1071.2974904433336,1720.0600654799998,1752.17115707,1152.12021991,3183.3676561400002,1710.17925128,6456.6733430799995,5468.041266980002,5317.63587822,6555.67522952,1699.3165202299997,1232.7804958300003,2985.4655337599993,4386.95740772,4250.066437259998,4911.832573340001,4757.37815512,8263.932882860001,30942.03943342,27476.627945340006,27436.111957019995,10678.21945824,9174.63002822,8530.039160920001,8885.593697859998,54748.725362940015,20301.49057346,4974.4504232,1680.0725463499998,4168.57436872,4016.544576580002,2679.5181046600005,3617.5339797799993,7680.58693862,7702.870198999998,6252.8381338599975,8015.366781480002,1391.3689892600003,1402.6169482400003,2149.670693700001,2871.93518688,2792.35615092,3359.9781633000002,4796.3632326,4845.0010113200005,1760.3588787500003,5078.21188552,3840.5314505399983,2591.0943597199994,3331.3671158399998,2349.22895196,3576.8631975599997,8421.410533420003,7501.843278800001,9052.8439039,1629.9242260700003,1320.5176614,2253.815698,3026.6390145999994,2376.24091364,2922.2405600200004,3462.1158150600004,3400.91561048,4312.764392299999,3188.6139347400003,2933.421558039999,3683.58167456,3758.4301479400006,2503.438820959999,4937.73473214,1185.3762103399997,1980.8735498499998,5101.583446079999,3989.2214055600016,5785.5610977
Yannakakis,1378.8464602100003,1083.4853453633334,419.768103152,1258.34374643,2458.51252908,2178.12103707,1591.1194928399998,3631.0082443400006,1541.2943863299997,1215.2195786099999,2094.42425396,1584.4729472700005,954.2644519933332,2075.43260484,51.71415508543468,528.240307558,1807.8519674099996,5644.005337739999,5579.7414850000005,5457.62762162,6314.2728857,6002.971146440001,66533.00908444001,5986.720636299999,5827.58986192,6550.522280380002,1801.0523402899998,803.0640578133331,14201.37160842,9939.72452114,3179.8381222600005,2693.334820379999,4485.831144399998,5356.856003519999,2218.2584281600007,1625.4997281900005,3743.0135827200006,1461.0724646799997,1002.8615363166667,2077.87342754,2276.0879382200005,1407.1770482499999,2489.02777008,1534.18577846,5230.998252200001,4520.293711699999,4464.45321316,7094.794743680001,1971.0403732099994,1420.7432583000002,3304.70494292,5206.673775619999,4931.25899758,5827.090992899999,5623.421990060001,9031.74928122,35258.96496589999,31566.32539142,31120.056195700003,12282.55912002,10257.215422020003,9732.880007640004,9874.328781199998,68044.86642534002,16841.74609426,4144.321337179998,1480.99464044,3706.9983649800006,3434.05330238,2534.3344767000003,4726.993742840001,8956.75146452,8145.609649679999,6737.2712705799995,9016.96662676,1664.2189713300002,1735.0774015499994,2588.2335265999995,3235.4486842800006,3155.97267468,3795.3562307400007,5240.47182286,5307.479937059998,1896.0008350100004,5490.36256242,4616.79647514,3310.26954648,4041.6644843000004,2797.6119612199996,4232.741002419998,9716.20674222,7980.951364800002,10432.174236920004,1652.59842751,1362.0226926799996,2810.31001232,3343.816916699999,2530.66917342,3255.492768980001,4038.1399093000005,3969.679723979999,5352.172338900002,3700.6619513399996,3338.86947488,4395.8905045,4500.93662954,2971.6538160599994,5919.942735560001,1862.20564416,2748.0930851999997,5994.95576078,4836.261493100001,6846.263087639997
TTJHP_BG perf improv over HJ,-0.0393153249469524,-0.28669835704017155,-0.032703403192826275,-0.1999739505568918,-0.10052501684754825,-0.12559489085008302,-0.3466740259861256,-0.29042664354200665,-0.3202895530771096,-0.46719775845159806,0.07381292309060258,-0.1393980104780814,-0.3586393441535913,0.13432241931717154,0.03715919991044271,0.010342630753801636,-0.08490759736024164,0.00894513688131651,0.021801778866047034,0.009994477762058496,0.024650783751555813,0.033977035129387066,0.013747709432344898,0.04338494965372685,0.017161145939345805,-0.047794518202926156,-0.023383439076195427,0.028923032659393482,-0.4364952910347165,-0.3655678949053855,0.21515965339840476,0.11807248597031447,-0.0266118722056826,0.06870568701812962,-0.011373079471649577,-0.17844438343541053,-0.18947211428826732,-0.2719120562502192,-0.022640438223172177,-0.02641463702421863,-0.2084236538550519,0.03395865583650792,-0.03058091728229794,0.05626602246515407,0.056394014863985334,0.04584284863040428,-7.510981412855785E-4,-0.3017434203373503,-0.26154626663051644,0.02508214193754081,-0.013719076234262682,-0.009577498369439193,-0.03358668447476829,0.057791720403787716,-0.006209548069898812,-0.011315868724780801,-0.04433946391091445,8.962305136600223E-4,-0.004273225715261167,-0.07975078608746099,-0.105991161341533,-0.11299322259318917,-0.1267580930695547,-0.012755039510875877,-0.035474617107500904,0.11268451469449652,-0.003452551947879351,-0.0990635406851213,0.1925066664382568,0.027198172371984932,0.13383423869342795,0.16152365274905212,0.008731011306616826,0.5483155627722712,-0.04597132633847777,-0.23573413782663702,-0.19597259676899292,-0.13533933354595998,0.028407592614395225,0.10298826284176307,0.02826891753714311,0.18787565628787237,-0.00329095571217878,-4.014171521836693E-4,-0.04559815613997377,-0.048488420421501095,-0.03828340343399983,-0.10587091795342973,-0.03573965047256652,0.004380950881220259,-0.0053980462854663356,0.03697355125270752,-0.04418946689434181,-0.23764092541768422,-0.21255601841656685,-0.1361418876204381,-0.3220228009049453,0.017458096481548602,0.0748901284884974,0.02155241483982504,-0.020322765542698056,0.07605817555947249,-0.03471881102577891,-0.15651193608597144,0.09279522386601655,-0.11259344801382117,0.014820047467900511,-0.0993219315220661,-0.11242719547841888,-0.142673534349138,-0.006121957227496132,-0.011738115110392121,-0.026522699904228262
YannakakisB perf improv over HJ,0.06889142881331849,0.021732080020047582,0.2673723216523166,0.01583019060630857,0.23639565633625245,0.28658293648561317,0.3952055990508368,-0.4748504395768367,0.026919018908531118,-0.025352788144902914,0.2869748453548769,0.16811996699801976,0.26519637076993546,0.22304726829343482,0.9133684592207196,0.018810711960779693,-0.6378417628398416,0.7262759647171095,0.7410398174265747,0.7296621246964151,0.7147600776629977,0.7224460234573384,-1.3566759980949195,0.3431739710870278,0.3567484036113085,0.3232618373952904,-0.09869800547496756,-0.12603186136961833,0.35463925481403685,0.49181766333502375,-0.06545518455748621,0.04337029427963437,-0.341033058641379,-0.2674247348099768,0.08629358500071448,0.06320035965039958,0.04320689228586423,0.16135736654887436,0.18824064091230314,0.18189634949154146,0.10182478246473264,0.08240666158848617,0.3711626708826494,-0.15398306684173566,0.02034035613391436,0.009796898420142202,6.459752603934513E-4,0.12323986329663246,0.02254329811863792,0.15534519037743533,-0.2913631314005331,-1.6048405580093728,-1.8856397632429616,-1.0176871718259743,-1.0685161119113091,0.6237557631253252,-0.25086145664098547,-0.198150209385482,-0.20617978835425882,0.5131601762135596,0.5857925825432168,0.603694025388554,0.5884305879869268,-1.2906418034906053,0.13593341753233237,0.2568208071963492,-0.28020248031792266,-0.7937750184844499,-0.5947477918876768,-0.5229324070116579,-0.1844074174306221,0.2291151878178525,0.6609297314286469,0.6904014098925189,0.6406746409121582,0.23442424585507343,0.24537216790656646,0.06552446544988275,-0.3283219850180481,-0.3276472866449942,-0.17119288268376365,0.05209779359625881,-1.0695339283560457,0.22279250876620063,-1.1892199548871207,-0.08695951840629355,0.18623715265274277,-0.1289796350009421,-0.020916907432197405,-0.013118740401805126,0.6205994633572056,0.6604860533448574,0.599095312651688,0.14689668693750957,0.2299350125397509,0.05087485468704492,-0.1430067153439596,-0.2649887178267206,-0.05982389695175599,0.00319498271368372,-0.013135610803532122,0.02515739304268411,-0.1386977719064814,-0.25422980135385626,-0.028504898261202078,-0.019275554787397214,-4.176969797587245E-4,-0.1689753381805063,0.47873579457123405,0.11770403771723896,-0.7987311566932529,-0.45460770621954244,-1.0031462883212336
TTJHP_NO_NG perf improv over HJ,-0.03582165808555441,-0.27756715465012943,-0.012172437118322348,-0.18836096496049215,-0.1073462579706714,-0.12960602621691586,-0.35884557795366373,-0.3178296566238324,-0.3607015137682634,-0.4556293997665711,0.0712380768077506,-0.1386569127542686,-0.3894250109889673,0.08968937054470838,0.04901459831269258,0.008963781055167907,-0.09186240334118809,0.002761909536572803,0.026388616024775814,0.005023359685958106,0.028430767424696208,0.03829786114117093,0.02103606116101258,0.02330298985672072,0.03467563819047129,-0.05690694942718949,-0.009014450461458769,0.03738427228956801,-0.4139959686466011,-0.38537882393108813,0.20375276087169888,0.12585555074814408,-0.021449771293861917,0.014298739283708877,-0.020454588346596917,-0.20480037981029514,-0.17679349657808685,-0.2840762074474174,-0.008114453564934034,0.057460299298347374,-0.24089812442870467,0.021152169257756658,-0.046670809660915025,-0.014201588952234617,0.09370966289621965,0.04269247100446169,-4.1976378690997053E-4,-0.238510308281854,-0.2560501842262454,0.05327258614425368,0.004495222722773491,0.0164767084332225,-0.01237678198331154,0.0625622221094955,-0.030416224959230173,-0.002651257383849285,-0.04738975936274778,0.013265579385747989,0.020672506320621713,-0.058288594491627294,-0.02233754508419136,-0.03816578362479969,-0.04146393090052152,-0.004294729187320431,-8.98450411741256E-4,0.11021439687792421,6.063657090615897E-4,-0.11416725020751654,0.18936779985756932,0.0252064349675901,0.13938328441716433,0.17362655788648612,0.009576387088670629,0.5473846023592035,0.008041345799061335,-0.252021784920658,-0.23441861122919447,-0.1366449858087178,0.07410213411675488,0.09091243013769267,0.18579857528186067,0.4030752448008996,0.033656011823515096,-0.0069751246540214855,-0.03751021711092472,0.028312535636752692,-0.018133561509434244,-0.1106698536929044,-0.022743224131184302,0.032703446537111436,-0.0066666653147201705,0.03556286486311773,-0.0397428572691647,-0.19749343627949056,-0.22644115576531093,-0.1538053899796285,0.015120934084843291,-0.002160348870298363,0.19738906525478697,0.028621526448108912,-0.008043257895913088,0.07682219746447842,-0.033446898101077704,-0.12492063935823593,0.09702851858435808,-0.05622319930749949,0.025154013603326364,-0.06990972548151711,-0.11615533672436974,-0.15692405599980958,0.02176397381734009,0.008103865677723377,-0.0038891205430022706
