Algorithm,Query1a,Query1b,Query1c,Query1d,Query2a,Query2b,Query2c,Query2d,Query3a,Query3b,Query3c,Query4a,Query4b,Query4c,Query5a,Query5b,Query5c,Query6a,Query6b,Query6c,Query6d,Query6e,Query6f,Query7a,Query7b,Query7c,Query8a,Query8b,Query8c,Query8d,Query9a,Query9b,Query9c,Query9d,Query10a,Query10b,Query10c,Query11a,Query11b,Query11c,Query11d,Query12a,Query12b,Query12c,Query13a,Query13b,Query13c,Query13d,Query14a,Query14b,Query14c,Query15a,Query15b,Query15c,Query15d,Query16a,Query16b,Query16c,Query16d,Query17a,Query17b,Query17c,Query17d,Query17e,Query17f,Query18a,Query18b,Query18c,Query19a,Query19b,Query19c,Query19d,Query20a,Query20b,Query20c,Query21a,Query21b,Query21c,Query22a,Query22b,Query22c,Query22d,Query23a,Query23b,Query23c,Query24a,Query24b,Query25a,Query25b,Query25c,Query26a,Query26b,Query26c,Query27a,Query27b,Query27c,Query28a,Query28b,Query28c,Query29a,Query29b,Query29c,Query30a,Query30b,Query30c,Query31a,Query31b,Query31c,Query32a,Query32b,Query33a,Query33b,Query33c
TTJHP_VANILLA,665.7392769016665,551.218204902,361.9251999523809,665.1805677999998,1255.5251993200002,1166.5187298299998,1056.4069503,1699.7160230099998,769.5199884400001,551.6569892066667,1045.5610878999998,878.8901934666667,632.9038619366665,1172.5223617499996,453.92021253199994,416.49118336,652.2182140683335,13439.60182576,13369.467136059995,13547.558234739998,13839.717868899996,13642.66393522,14261.609302800005,4593.186434340001,13244.019994760001,4882.0571597,782.7626615400001,467.399492893,12205.826782639997,11023.853774539999,1167.3970110099995,1047.4209378133335,1579.7616283100008,1866.1991586499994,1118.3759424700002,1221.86715741,1535.6600726099998,1040.5025100133337,740.8168301000001,1263.6829742300004,1655.9498132200001,787.9957608733331,3132.74008274,1040.4036727499997,3535.5035169000002,3125.0127213999995,3114.0580001800013,4042.29158784,1071.2405856066666,938.6607958566665,1242.89741531,1146.1493014300002,1069.1567603700003,1719.9575653100003,1562.66987972,14108.72488386,22381.384444499992,14519.433379339995,14228.184540519998,14706.302155039999,3874.338953,3513.10770146,3452.8721623000006,15894.586273600005,6175.844099000001,3423.83499064,976.2410805199996,1431.5638197400006,1463.9111856400004,1183.063179,1814.6077040800003,4511.72776864,3758.518194460001,3250.303885960001,4137.0352539000005,1265.17335559,1274.8534020299996,1524.8117259500004,1310.2865831400004,1271.27493992,1442.1213381700002,1827.68853982,1512.3071164300002,1503.1987252399997,1685.5888309300003,2137.60559956,2004.6013655099998,1840.6147895500003,1492.0975291499992,2081.51784914,4278.320401679999,4248.3875852,4369.341408960001,1314.59789537,1153.6613556499997,1542.1622802600002,1607.3448029400004,1366.5275922400003,1564.1295227600006,2227.89141593,2204.5141873600005,2744.5617591200003,1819.84567933,1651.83490292,2108.9013581300005,2274.7111045599995,1596.1230759899997,2706.745719959999,1236.4241251099995,1239.5240862899998,1928.5272240199995,1821.1490394,1991.2141216600003
Yannakakis1Pass,1042.69817934,818.3522802399998,427.4521104920001,1166.6640131000004,1465.6475561399993,1382.6161644100002,878.7407824399996,2357.57649934,1730.8548522500005,1067.8193346533333,2747.481881919999,982.8417346833335,639.6365273666667,1384.3305117599998,511.767400232,535.6793847950001,1431.5404819699997,3062.1753396000004,2570.16106972,2539.73029992,4150.92341884,4101.3417477600005,54061.87511210001,7557.451304799998,3883.12233556,22464.588461240004,1500.3645277499998,828.0735200133332,38902.07121545999,34305.50520532,2496.9449861799994,1979.5124938000001,3548.9119622800004,4296.5435302,1794.3523545699998,1202.9253842400003,3979.060069359999,1228.65935398,757.5202903866666,2382.6721535899997,2840.5892747,1380.69528872,1398.5754918200003,2227.12637724,3433.5597243800003,2771.70226122,2764.46275044,4387.561011939999,1419.7937585300006,1251.8103570899996,2124.055532040001,3967.579598959999,3951.6110167,5811.122927660001,5552.702361920002,50601.2779157,61647.15072389999,50805.355234860006,50760.663344299996,8897.47126856,6037.83794858,5614.9590266000005,5755.6124773599995,57243.423441599996,11945.112400400003,2484.5583141399998,1258.10230186,2773.0101979,2932.41624058,2087.4920505099994,4006.90455232,5875.539579260001,4350.639416680001,3361.4551685399997,4712.203246359999,1754.5601085899998,1756.89682013,2187.35274162,2151.5971879999993,2131.663727690001,2509.62665026,3490.2825157200004,4427.11730698,1831.7149684000003,5179.243119500002,3765.4942740799997,2710.6593301000003,2972.06125662,2376.9653127600004,3233.0407026399994,5079.76172064,4941.11744158,5398.124867540001,1920.3188000500002,1659.5119537000003,2329.93745452,2998.6222599000002,2213.5896686399997,2717.65184004,3561.8329705399997,3407.1430313599994,4596.58857662,2979.0669286199995,2769.6699822399996,3280.128225960001,3221.1827514199995,2533.3890501399997,4553.68700658,1117.7764506866667,1916.9750988800004,3921.2527395600005,3592.990656580001,6201.418554500002
HASH_JOIN,666.3523635183333,561.801991582,368.3248574390476,683.3023473216666,1274.6316491799998,1236.40080991,1068.5142193133336,2449.3793823800006,767.9979190033331,573.9744770449998,1070.3585153133333,886.17250466,640.3477355250001,1152.9412164933337,475.98355414799994,432.5894954966665,672.3566418883333,13616.747683640002,13570.997435739999,13641.999746319996,14027.518407700003,13829.3504326,14673.901162720002,4628.325821719998,13509.243504420003,4943.9813863399995,792.6586505666663,471.83664446299997,12223.588013740005,11038.287400559997,1186.9649566500002,1059.83234216,1592.4434186200003,1953.33078423,1137.14929307,1230.6606189799995,1550.1536113099996,1044.8746201766664,757.2495247933333,1336.7916634899998,2812.2133010200005,806.06405388,3179.8934942400006,1043.6426498566668,3563.8853191,3163.9658589400005,3155.2420155399986,4058.783807839999,1102.1504391699998,967.0524335633334,1247.84329564,1172.90186913,1092.28304932,1751.22901855,1565.3982759100002,14363.985059700002,84099.41954244001,14687.59572432,14432.19402388,15342.358153199999,3884.7822443800005,3441.521099140001,3478.4296426799997,16662.10966728,7956.955226200002,3461.8096721599995,1003.6615952133335,1458.94639249,1463.23385652,1203.69109061,1844.1044759999995,4622.240478740001,3918.8327071599992,3308.50761626,4162.219793960002,1279.2168731399997,1292.0864791600002,1551.8778848599998,1355.08949436,1296.4841066499998,1644.9243514599993,2408.475076840001,1566.9873407599998,1537.34851753,1712.2373406899999,2183.9419304499997,2053.6417493899994,1879.88970749,1531.93229525,2165.09819544,4372.106854839998,4192.669988559999,4465.3948135400005,1340.7232999499997,1180.43518162,1548.6655443000009,1701.6357910699996,1403.2447400599997,1678.86028219,2247.75767334,2229.9564811299997,2842.630227740001,1853.6480453899994,1705.7199291999998,2108.0202832399996,2330.11599982,1635.3481382699995,2859.3267172000005,1274.8041804500003,1281.47797261,2046.7645886300002,1798.80891988,2025.2400695200004
TTJHP_NO_DP,658.6789247166665,501.735968463,363.88981271523795,576.5834566399999,1223.71374612,1157.40634414,1086.2139878099997,1340.28148161,666.19736118,502.428533908,831.9898332133334,855.3319210933333,633.7529041783334,1143.97076091,451.567240124,420.46569618666683,631.800538025,13368.717867519996,13493.681308260002,13502.716957159999,13700.600729740001,13535.721133460002,14408.284237320002,4566.683842399999,13340.093531040002,4935.19204558,779.8651607466666,461.01025433399997,5470.644905859999,4707.64545392,1191.25790965,1051.4817727300003,1556.0738302700001,1756.0230456599995,1120.76370541,1096.4664420100003,1263.81193179,989.8668464233335,781.5663579333335,1082.5708468066669,1243.8095310000003,664.4904437783334,3137.78346878,811.3332222599997,3541.8929491599997,3163.1452025,3155.7061725999993,3974.2938793199996,1036.0307068033335,945.4984957099998,1234.2515184,1131.3559134033328,1057.80825284,1346.96766959,1211.30163257,13889.643632120004,6513.015713859999,14199.526703939999,14068.823295299997,14075.14212448,3891.0292335,3624.8386011400003,3601.9387602200004,15349.98139456,4753.858201319998,3386.8492908400012,960.3691595466668,1258.9062598600003,1392.61160411,1172.5968148600002,1740.2520438400004,4342.481950140001,3939.2392482000014,3335.6994881599994,4083.3249433400006,1208.15998452,1191.34888479,1469.1767252199995,1300.8249543200002,1255.2878251299996,1388.5425231399997,1562.4899139899996,1344.41071338,1335.7670817200005,1409.1661754799998,2136.93613343,2044.293077739999,1826.1950307400007,1505.8551369000002,1947.3167968499995,3994.493094980001,3928.55089136,4193.799851060001,1264.43397529,1131.55578461,1473.5688525799999,1534.2205829400002,1328.4365767199997,1500.197776,2206.0625601400006,2187.37465851,2730.05545358,1850.97112371,1656.3385515400003,2044.4255067000004,2329.74436798,1611.0524887800002,2523.830369240001,1223.4619630599998,1232.7104710899998,1711.6211277500004,1773.58956168,1907.7195833499998
TTJHP_NO_NG,672.9931542700001,553.578599561,365.4442954071429,676.0772035133334,1267.6352715399998,1182.0734902500003,1082.2039605766665,1713.81417861,783.3525009466665,567.052326374333,1071.6206919599997,889.5162338299998,635.0655844566667,1175.9574846000003,465.67503596800003,426.7989079306666,661.1800602133331,13459.237038500001,13545.574656060002,13539.144322619999,13997.853373359998,13806.579927520002,14580.227860060004,4630.0593362399995,13441.431776179998,4935.9961613,784.3311941866668,472.29513000700007,12161.144780460007,11145.880629099998,1179.4659182300002,1055.6204612699999,1602.3426923699994,1905.2425934399996,1144.0779551899996,1226.9010552799998,1538.6260244700002,1061.0520446433334,755.4053444866665,1275.7016043100002,1646.7911873799994,803.2703152999999,3157.198676900001,1042.0083235633335,3566.0602057800006,3153.563880479999,3122.36908078,4068.9023892200003,1090.6737773199995,964.3226619333333,1253.51884833,1166.2953358899995,1083.6502638666668,1753.0697632599995,1576.7423786299996,14182.596649680001,23005.679041800002,14595.07710376,14394.21122792,14905.23032182,3893.988656579999,3435.8974313400004,3470.23335518,16002.76203924,6285.489986879999,3455.2206510199994,999.5671818700004,1453.4903971600004,1466.26610816,1202.52439983,1815.46867826,4507.13008186,3868.380856719999,3113.75645724,4170.688338840001,1283.7823302100003,1295.1829581900001,1531.9318195000005,1325.4061961800003,1289.67925002,1457.7969838999995,1864.9920227900002,1548.9129950600004,1517.25599714,1696.7988285699998,2164.7405425199995,2063.2909149999996,1875.7335418900004,1527.7272822300001,2088.0578927599995,4242.485562360001,4287.23409086,4375.34405092,1332.90764296,1180.7161855099998,1547.08623713,1623.8684275699998,1383.5885698600002,1570.7906414499998,2271.8631333600006,2260.6541323,2782.1518906800006,1864.4480658599994,1698.9057440200004,2149.01165339,2304.0849210699994,1634.2622305399998,2749.3167857399994,1248.93669186,1249.0688409199997,1967.6231755200008,1841.67407839,2022.0193225300004
TTJHP,658.03954928,501.252603155,368.7438685197143,586.0013336573334,1170.9672197400002,1150.089807873333,1102.6016990833334,1247.71588486,682.3611304699998,523.9948894160002,849.1948115733333,763.0438769933336,640.6709250266665,882.3168229166669,468.6346938219999,441.2245602153334,645.6321036650002,13623.459757859991,13723.4793055,13769.35573186,13926.911657220002,13726.710877160001,14449.54593078,4642.845525840001,13527.51118116,4870.25558224,796.2637096133332,473.7134735169999,5323.43534104,4580.11973088,1210.09746345,1059.9473786766664,1553.2856263,1770.7590609799997,1127.7689292399998,1117.2523567666667,1282.1442827099997,946.3302630966662,799.5852474333332,1094.683695326667,1085.0069841333336,688.1108867816667,3206.15761168,835.6739810333337,3594.9839556599995,3201.079894299999,3213.18540332,3899.7025014,1068.7825984166668,977.4756793966668,1159.0414399500003,1171.592120106667,1097.8300944333332,1414.6642854499996,1226.69585253,14231.559264520001,6692.958616639998,14599.597138439998,14379.571902639998,14416.387325300004,3842.2582330600007,3694.1225844600003,3631.7698281199996,15300.940879839998,4692.20429392,3490.477757280001,998.0393277966665,1298.7055483499998,1429.8401823,1188.27226703,1776.1733813699998,4349.66487028,3915.61588436,3385.5896234200004,4189.558974499998,1179.46962797,1194.5048374799997,1392.9906040399997,1333.82906196,1300.2914197299997,1404.12596074,1581.54936912,1342.6188670399997,1340.2018369799998,1412.81774766,2162.85342739,2113.297450040001,1860.2430482600003,1537.93754442,1916.8580630999995,3981.325099480001,3966.18178516,4225.53817642,1304.8797134200001,1174.5866446599998,1506.3491589799994,1555.97060263,1363.17271118,1515.7767687000005,2301.29460424,2235.7609034600005,2773.0779154200004,1870.1100987699997,1727.5805364500004,2143.6286563999993,2346.5592265600003,1655.1327548700003,2534.3982808,1238.3835392866665,1248.5082178000005,1620.2851148800003,1649.6741233300002,1802.50383682
TTJHP_NO_NG perf improv over HJ,-0.00996588459085449,0.014637527357002467,0.007820710369463515,0.010573860658687219,0.005488940781049116,0.04393989329718588,-0.012811941119632917,0.300306767118808,-0.019992999412367908,0.012060032192205191,-0.0011792092356054085,-0.003773226039418526,0.008248879125031564,-0.019963088991362822,0.021657299060367594,0.013385871886120516,0.016622995860664715,0.01156742041487951,0.0018733169614375245,0.00753961483746127,0.002114774222910403,0.0016465346793382801,0.0063836672757467405,-3.745446165147292E-4,0.005019654003410216,0.0016151405954040914,0.01050572825269269,-9.71703977171809E-4,0.0051084209652525175,-0.009747275517988674,0.006317826299745824,0.003974101112460999,-0.0062164053267134275,0.024618559835453954,-0.006093010093066938,0.003054915093582609,0.00743641582091839,-0.015482646581971404,0.002435366740137712,0.04569901267973951,0.4144145514201565,0.0034659014585160866,0.007136974046806477,0.0015659826604036786,-6.102572011351963E-4,0.0032876392868178006,0.01041851452221258,-0.0024930082160217496,0.010412972169791108,0.002822775203554976,-0.004548289604817107,0.0056326393655600025,0.007903432593509013,-0.0010511159251595298,-0.0072467837064691286,0.01262800046547734,0.7264466370045468,0.006299099069482446,0.0026318102360010564,0.028491567398902524,-0.002369865701820735,0.0016340646005063779,0.0023563183223348277,0.03957167736897004,0.21006342147261808,0.0019033458693553443,0.004079475953708138,0.0037396818403230806,-0.002072294614075906,9.692609583150643E-4,0.015528294688657107,0.02490359327028767,0.012874203674941517,0.05886374813310846,-0.0020346222206449275,-0.003568946881379117,-0.0023964951881649673,0.012852857531247468,0.02190504634826266,0.005248700385215713,0.11376047013585129,0.22565442311450798,0.01153445546741509,0.013069593628829061,0.009016572500269505,0.008792078059531467,-0.0046985632293784,0.002210856085567337,0.002744907874217489,0.03558282152849145,0.029647329487499704,-0.022554625705821275,0.02016636073185467,0.005829433254640406,-2.380510970658255E-4,0.0010197858251664994,0.0457015325536255,0.014007656425748652,0.06437083650524386,-0.010724225438492909,-0.013766031503199926,0.021275485101726672,-0.005826359808087332,0.003994902717232914,-0.01944543440872268,0.011171580621742254,6.640223598801714E-4,0.03847406831763824,0.02029134276989044,0.02529043212814052,0.0386665928996615,-0.023829745358867505,0.0015903038056931677
Yannakakis1Pass perf improv over HJ,-0.5647849942852531,-0.45665606833391575,-0.16053017291328806,-0.7073906121835548,-0.14985969247106368,-0.11825886341067962,0.17760497094300653,0.03748005870401269,-1.2537233622927155,-0.8603951523259383,-1.566880015072062,-0.10908624394798035,0.0011106592853808157,-0.20069478994812565,-0.07517874466913538,-0.23830881325487036,-1.1291386041037332,0.7751169801523835,0.8106136942483436,0.8138300581184876,0.7040871166092023,0.7034320760220316,-2.6842196572406873,-0.6328693345948289,0.7125581210902368,-3.543825452763367,-0.8928255266972729,-0.7550004429091524,-2.182541097731031,-2.1078648308776238,-1.1036383359009918,-0.8677600362389757,-1.2285953276477861,-1.1995985344047555,-0.5779391197841107,0.022536867038929733,-1.5668811402486658,-0.1758916622668656,-3.575645602513796E-4,-0.7823810685424908,-0.010090263661617438,-0.7128853247753761,0.5601816556581679,-1.1339932567396243,0.03656840303517711,0.12397845463838784,0.12385080547715746,-0.08100387201331827,-0.28820323258157887,-0.2944596524899982,-0.7021813071092431,-2.382703790814957,-2.6177536758078164,-2.318311235198439,-2.547149915373514,-2.52278825864755,0.2669729344232832,-2.4590654718753964,-2.517182713890187,0.42007146621693026,-0.554228157141822,-0.6315340992688141,-0.6546582994634084,-2.435544753015941,-0.5012164905827456,0.2822949412496854,-0.2535124466853628,-0.9006936870156501,-1.0040653293480695,-0.734242337419073,-1.1728186252284771,-0.2711453690660515,-0.1101875843618072,-0.016003454856740748,-0.13213705177177443,-0.3715892476333664,-0.3597362471219249,-0.4094876684303859,-0.5877897341504997,-0.6441880905104432,-0.525679067266838,-0.4491669643097851,-1.8252412714660584,-0.19147671950336143,-2.0248394871547792,-0.7241732582624677,-0.3199280404701342,-0.5809763970612142,-0.5516125093322727,-0.49325361290736647,-0.1618567178925684,-0.17851332326708114,-0.20887963840773277,-0.4323006097690818,-0.40584758870243687,-0.5044807208990596,-0.7621998054086809,-0.5774793986010961,-0.6187480690739445,-0.5846160877508569,-0.5278966473971172,-0.6170195235960966,-0.6071373074456629,-0.6237542487640414,-0.5560230857544155,-0.38241304367200335,-0.5491435681823803,-0.5925731673780897,0.12317792188907278,-0.4959095199862674,-0.9158298718587305,-0.9974276405187563,-2.062065899165126
TTJHP perf improv over HJ,0.012475102803630421,0.1077770982201339,-0.001137612822496017,0.14239818441385876,0.08132893099484022,0.06980827038033859,-0.03190175587172411,0.4905991722492472,0.11150653721102287,0.0870763241709112,0.2066258179627387,0.13894431052553075,-5.047093692015033E-4,0.23472523117854172,0.015439315627520617,-0.019961337037906535,0.03974756335904786,-4.929278544283975E-4,-0.011235863132538115,-0.009335580406703826,0.007172098981155214,0.007421863806274369,0.015289405963152551,-0.003137139579038273,-0.0013522353589984688,0.014912233347742908,-0.00454805992981923,-0.003977709395877798,0.5644948655782446,0.5850697155568136,-0.019488786649007148,-1.0854218359849199E-4,0.024589754249437684,0.09346687449149572,0.008249016982348749,0.0921523452235989,0.17289210994613063,0.09431213580758474,-0.05590722906238075,0.18111121932886284,0.6141804095230623,0.14633225055820823,-0.0082594330557215,0.1992719144353629,-0.008726048617033825,-0.011730226246003981,-0.018364165884779186,0.03919432863921343,0.03027521431508154,-0.010778366789199361,0.07116426878300817,0.001116674001299532,-0.005078395308603028,0.19218773189281244,0.2163682103093573,0.009219293575536948,0.9204161140106032,0.005991354033137721,0.003646162264235852,0.06035387902262357,0.010946305003714945,-0.07339820911838137,-0.04408316429877738,0.08169246359679054,0.4103015336230749,-0.00828124242373896,0.005601756053515187,0.1098332638984188,0.022821829929099688,0.012809618431408439,0.03683690133291545,0.05897045160538757,8.208624966617639E-4,-0.0232981199079528,-0.006568413465254587,0.07797524193466708,0.07552253138926075,0.10238388108374512,0.01568931977444122,-0.0029366446225381183,0.1463887324096527,0.3433399480325762,0.14318461156883364,0.12823811796868825,0.1748703791901533,0.009656164738617613,-0.029048737769243983,0.010450963772886315,-0.003920048678796251,0.11465536891713683,0.08938065064155394,0.054020040694351956,0.05371454196898905,0.02673451452013724,0.00495456002249432,0.027324418416714076,0.08560303515266589,0.02855669273934796,0.09713941965275638,-0.023817928211295084,-0.0026029307652943303,0.024467590487594736,-0.008880894849991184,-0.012816058999939962,-0.016891855094140793,-0.007056827531878437,-0.01209810690274829,0.11363809334743917,0.02856959658735782,0.025727913795388718,0.20836762377028592,0.08290752558640237,0.10998016287164945
TTJHP_VANILLA perf improv over HJ,9.200636933734503E-4,0.01883899814985829,0.01737503553565003,0.026520879948237465,0.01498978145748325,0.056520571258026765,0.011330938600998762,0.306062574365908,-0.0019818666157875786,0.0388823697409518,0.023167403312594155,0.008217712866331025,0.011624736335220338,-0.016983645806524166,0.04635315952353206,0.03721383044260849,0.029952002501887197,0.013009410322909564,0.014850072784573827,0.006922849533513188,0.013388008722691799,0.013499296173732293,0.028096949498845666,0.007592245821392585,0.019632743282273712,0.012525173903585795,0.01248455311702166,0.009403999502942203,0.0014530292644061478,0.0013075965044419592,0.016485697855164846,0.011710724284344278,0.007963730555016823,0.04460669246778283,0.01650913447724785,0.007145318079071925,0.009349743531385677,0.004184339516825024,0.021700501823118366,0.05468966575474634,0.4111578191386191,0.022415455595240722,0.014828613469417516,0.003103530798700059,0.00796372488415731,0.012311491108520133,0.013052569393143367,0.004063340345485412,0.0280450403727195,0.029358943446376705,0.003963542816057878,0.022808871231353386,0.021172432332806884,0.01785686104373273,0.0017429405870618858,0.017770846654259376,0.7338699295872615,0.011449276528054084,0.014135722054625958,0.04145751205966574,0.002688256567046602,-0.020800861089559475,0.0073474190957929005,0.046063998437557395,0.2238433014346123,0.010969604084647816,0.027320478161272574,0.01876873125082095,-4.628987478538188E-4,0.01713721383411275,0.015995173974079777,0.023908905347591505,0.04090874111749958,0.017592140339635496,0.006050747271095074,0.010978214753787694,0.013337402262117899,0.01744090767324844,0.03306269542083611,0.019444254349664288,0.12329017629898639,0.2411428470258501,0.03489512831895589,0.022213435600710412,0.015563560685611912,0.021216832848871676,0.023879717041478253,0.020892139460904364,0.026002954715110285,0.03860348989068101,0.021451088976971296,-0.013289287445000532,0.02151061856585352,0.019486052477027865,0.02268131820101861,0.0041992695349467105,0.05541196807497126,0.02616589021985531,0.06833847976934572,0.008838255851877535,0.011409323000378314,0.034499199953266106,0.018235590161824716,0.031590781908300926,-4.179631937159282E-4,0.023777741221587486,0.023985756526127285,0.053362561305836616,0.03010662808342283,0.032738671453362816,0.057767935436650646,-0.012419395563976992,0.0168009454148636
