statistics,Query3W,Query7aW,Query7bW,Query8W,Query9W,Query10W,Query11W,Query12W,Query14W,Query15W,Query16W,Query18W,Query19aW,Query19bW,Query19cW,Query20W
rkRelationSize,727305,10000,10000,25,10000,150000,10000,1500000,200000,10000,799680,150000,47244,46782,47267,4397
totalTuplesRemoved,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
totalTuplesRemovedRk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
totalTuplesRemovedInnerRelations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
totalTuplesFiltered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
totalIntermediateResultsProduced,874433,230064,227853,491465,1182065,321777,10398,1500001,200001,10001,799681,150059,47245,46783,47268,4398
numberOfPassContextCalls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
numberOfPassContextCallsInnerRelations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
numberOfPassContextCallsRk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
numberOfInitPassContextCalls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
totalInputSizeAfterEvaluation,3999223,3488452,3488452,6619980,8321904,1685964,810001,1530988,275983,10000,829261,6151272,47332,46941,47505,4398
bloomFiltersProbingTime,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
buildBloomFiltersTime,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fullReducerTime,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deleteDanglingTupleFromHTime,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
noGoodListConstructTime,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
buildNoGoodListTime,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
noGoodListProbingTime,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evaluationMemoryCostInBytes,794363640,808583680,934540800,1385034752,2103464736,664434416,257830912,59077696,90086952,213612544,390276160,1301672448,46074712,77529944,106890072,201027584
noGoodListSizeInBytes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
noGoodListSize,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
