statistics,Query1a,Query1b,Query1c,Query1d,Query2a,Query2b,Query2c,Query2d,Query3a,Query3b,Query3c,Query4a,Query4b,Query4c,Query5a,Query5b,Query5c,Query6a,Query6b,Query6c,Query6d,Query6e,Query6f,Query7a,Query7b,Query7c,Query8a,Query8b,Query8c,Query8d,Query9a,Query9b,Query9c,Query9d,Query10a,Query10b,Query10c,Query11a,Query11b,Query11c,Query11d,Query12a,Query12b,Query12c,Query13a,Query13b,Query13c,Query13d,Query14a,Query14b,Query14c,Query15a,Query15b,Query15c,Query15d,Query16a,Query16b,Query16c,Query16d,Query17a,Query17b,Query17c,Query17d,Query17e,Query17f,Query18a,Query18b,Query18c,Query19a,Query19b,Query19c,Query19d,Query20a,Query20b,Query20c,Query21a,Query21b,Query21c,Query22a,Query22b,Query22c,Query22d,Query23a,Query23b,Query23c,Query24a,Query24b,Query25a,Query25b,Query25c,Query26a,Query26b,Query26c,Query27a,Query27b,Query27c,Query28a,Query28b,Query28c,Query29a,Query29b,Query29c,Query30a,Query30b,Query30c,Query31a,Query31b,Query31c,Query32a,Query32b,Query33a,Query33b,Query33c
rkRelationSize,1380035,1380035,1380035,1380035,4523930,4523930,4523930,4523930,4523930,4523930,4523930,4523930,4523930,4523930,153897,552777,706674,36244344,36244344,36244344,36244344,36244344,4523930,36244344,36244344,36244344,93095,93095,36244344,36244344,867477,713828,867477,867477,2609129,2609129,2609129,4523930,4523930,4523930,4523930,2609129,14835720,2609129,14835720,14835720,14835720,14835720,4523930,4523930,4523930,4523930,4523930,4523930,4523930,36244344,4523930,36244344,36244344,36244344,36244344,36244344,36244344,4523930,36244344,14835720,1244716,1380035,867477,713828,2609129,14835720,36244344,36244344,36244344,4523930,4523930,4523930,4523930,4523930,4523930,4523930,4523930,4523930,4523930,4523930,4523930,4523930,4523930,4523930,36244344,36244344,36244344,4523930,4523930,4523930,4523930,4523930,4523930,4523930,4523930,4523930,4523930,4523930,4523930,4523930,4523930,4523930,4523930,4523930,2528312,2528312,2528312
totalTuplesRemoved,154,108,273,107,309908,314089,320022,231097,145797,144513,144426,146243,144735,146402,104908,539434,867996,4059259,4050849,4050854,4058872,4059259,149888,4050786,4050731,2509224,3906,8204,1314104,302036,94043,91020,100054,118106,238449,248235,1043829,144595,144416,175211,173971,564218,122860,574100,4980757,2199599,2196901,4866117,152566,148579,159585,476951,477012,477276,477296,2343681,565975,2949707,2748814,6723204,5004138,4094779,4288513,231409,6935031,273865,560954,465195,94060,73829,820199,2816143,3140853,3139352,2718075,144612,144732,144551,210578,200194,204237,172735,477083,134241,476809,144278,139020,183555,162089,253886,2537287,2473266,2723030,144628,144646,144644,212687,155256,207125,134666,134719,138683,192943,192862,217508,338179,172613,445763,134163,171027,103259,110473,2015213
totalTuplesRemovedRk,149,13,253,12,169255,170829,171535,150885,144416,144500,140228,144057,144497,140986,102977,538210,636670,4050879,4050845,4050845,4051176,4050879,149780,4050534,4050479,2506678,3895,8202,694334,90203,93894,90963,95194,59986,238375,238396,701454,144394,144403,173592,173499,550628,121790,548430,2186723,2196406,2196432,2137152,150620,148565,150567,476780,476792,476744,476646,2328898,151872,2429263,2387400,3227680,4040954,4048137,4028282,151218,3146821,121398,560895,444373,93920,73829,701218,2188806,3140191,3138854,2471816,144396,144403,144392,150649,150633,151092,151127,476792,134239,476791,138924,138927,161172,162077,164742,2464007,2460822,2471816,144400,144402,144401,150854,150639,150889,134503,134503,134501,166785,166602,166666,166651,166599,166655,134163,171027,90856,90856,1634107
totalTuplesRemovedInnerRelations,5,95,20,95,140653,143260,148487,80212,1381,13,4198,2186,238,5416,1931,1224,231326,8380,4,9,7696,8380,108,252,252,2546,11,2,619770,211833,149,57,4860,58120,74,9839,342375,201,13,1619,472,13590,1070,25670,2794034,3193,469,2728965,1946,14,9018,171,220,532,650,14783,414103,520444,361414,3495524,963184,46642,260231,80191,3788210,152467,59,20822,140,0,118981,627337,662,498,246259,216,329,159,59929,49561,53145,21608,291,2,18,5354,93,22383,12,89144,73280,12444,251214,228,244,243,61833,4617,56236,163,216,4182,26158,26260,50842,171528,6014,279108,0,0,12403,19617,381106
totalTuplesFiltered,1379781,1380021,1379781,1380021,4350298,4350516,4352395,4348383,4379371,4379425,4377666,4379133,4379427,4378244,50920,14567,69349,32193459,32193497,32193497,32193127,32193459,4360112,32193802,32193862,33725748,89175,84889,35129499,36100422,773553,622852,771145,757423,2370684,2370733,1907665,4379526,4379526,4350334,4350315,2058116,14713928,2056264,12585665,12639150,12639254,12356764,4372607,4375364,4369621,4046968,4047101,4046492,4045055,33915280,4348420,33753476,33808729,32948323,32197144,32195971,32214193,4348389,32956946,14713928,683812,920106,773535,639998,1907161,12614122,33104145,33105486,33768926,4379526,4379526,4379526,4373009,4373282,4371254,4370104,4046982,4389687,4046973,4384995,4384998,4359290,4361847,4347392,33779318,33783475,33768932,4379526,4379526,4379526,4372795,4373281,4372555,4389426,4389426,4389426,4356651,4357320,4353878,4356935,4357313,4356834,4389767,4352363,2437455,2437455,894192
totalIntermediateResultsProduced,797,133,554,133,371776,368954,361845,434230,156950,155291,170039,168442,155535,178342,106843,540662,1102054,4059716,4051303,4051298,4059562,4059716,995611,4057833,4058060,3080736,10560,16477,10312742,1452986,95830,92069,132663,1975271,245254,254286,3146105,156459,155006,243309,266873,1561381,244640,1685600,9269017,4398695,4393746,11630675,187252,168113,242810,480617,478529,491340,545058,2469583,9761921,6640772,5494081,8723283,5331673,4110204,4360253,3333264,11162569,487535,582417,1161512,96105,147736,1629987,11767819,3141331,3139509,3200427,157876,155748,158595,316514,277721,449047,358174,483257,135474,483143,153159,145353,266617,208165,498496,3000226,2825709,3216342,156639,155966,156383,344155,188029,382614,136524,135171,182202,280675,273488,379291,425164,234785,565708,134169,226555,195799,220801,4010948
numberOfPassContextCalls,299,121,542,117,347350,353324,361841,248270,156455,155273,150714,165478,155507,159538,106839,540658,1099388,4059688,4051281,4051286,4059300,4059688,168016,4057740,4058007,2854392,10328,16447,3095963,539274,95381,91914,107094,197132,244692,254280,3146039,155264,154954,221916,219829,1558655,244603,1653996,8666815,4396751,4393409,8239063,182150,168099,214744,478569,478225,479843,488896,2467550,586220,5727311,4780338,7933273,5202069,4105418,4329693,249599,8373897,485133,582351,1029438,95432,147700,1614029,5241665,3141175,3139451,3164392,155292,155548,155171,294090,277469,281719,242006,478771,135344,477945,152553,145219,236899,208109,340830,2987588,2824997,3173167,155337,155381,155368,295355,186920,294822,135088,135131,139876,273930,273337,312206,418524,234423,552518,134164,212306,195764,220772,4010575
numberOfPassContextCallsInnerRelations,150,108,289,105,178095,182495,190306,97385,12039,10773,10486,21421,11010,18552,3862,2448,462718,8809,436,441,8124,8809,18236,7206,7528,347714,6433,8245,2401629,449071,1487,951,11900,137146,6317,15884,2444585,10870,10551,48324,46330,1008027,122813,1105566,6480092,2200345,2196977,6101911,31530,19534,64177,1789,1433,3099,12250,138652,434348,3298048,2392938,4705593,1161115,57281,301411,98381,5227076,363735,21456,585065,1512,73871,912811,3052859,984,597,692576,10896,11145,10779,143441,126836,130627,90879,1979,1105,1154,13629,6292,75727,46032,176088,523581,364175,701351,10937,10979,10967,144501,36281,143933,585,628,5375,107145,106735,145540,251873,67824,385863,1,41279,104908,129916,2376468
numberOfPassContextCallsRk,149,13,253,12,169255,170829,171535,150885,144416,144500,140228,144057,144497,140986,102977,538210,636670,4050879,4050845,4050845,4051176,4050879,149780,4050534,4050479,2506678,3895,8202,694334,90203,93894,90963,95194,59986,238375,238396,701454,144394,144403,173592,173499,550628,121790,548430,2186723,2196406,2196432,2137152,150620,148565,150567,476780,476792,476744,476646,2328898,151872,2429263,2387400,3227680,4040954,4048137,4028282,151218,3146821,121398,560895,444373,93920,73829,701218,2188806,3140191,3138854,2471816,144396,144403,144392,150649,150633,151092,151127,476792,134239,476791,138924,138927,161172,162077,164742,2464007,2460822,2471816,144400,144402,144401,150854,150639,150889,134503,134503,134501,166785,166602,166666,166651,166599,166655,134163,171027,90856,90856,1634107
numberOfInitPassContextCalls,154,108,273,107,309908,314089,320022,231097,145797,144513,144426,146243,144735,146402,104908,539434,867996,4059259,4050849,4050854,4058872,4059259,149888,4050786,4050731,2509224,3906,8204,1314104,302036,94043,91020,100054,118106,238449,248235,1043829,144595,144416,175211,173971,564218,122860,574100,4980757,2199599,2196901,4866117,152566,148579,159585,476951,477012,477276,477296,2343681,565975,2949707,2748814,6723204,5004138,4094779,4288513,231409,6935031,273865,560954,465195,94060,73829,820199,2816143,3140853,3139352,2718075,144612,144732,144551,210578,200194,204237,172735,477083,134241,476809,144278,139020,183555,162089,253886,2537287,2473266,2723030,144628,144646,144644,212687,155256,207125,134666,134719,138683,192943,192862,217508,338179,172613,445763,134163,171027,103259,110473,2015213
