statistics,Query1a,Query1b,Query1c,Query1d,Query2a,Query2b,Query2c,Query2d,Query3a,Query3b,Query3c,Query4a,Query4b,Query4c,Query5a,Query5b,Query5c,Query6a,Query6b,Query6c,Query6d,Query6e,Query6f,Query7a,Query7b,Query7c,Query8a,Query8b,Query8c,Query8d,Query9a,Query9b,Query9c,Query9d,Query10a,Query10b,Query10c,Query11a,Query11b,Query11c,Query11d,Query12a,Query12b,Query12c,Query13a,Query13b,Query13c,Query13d,Query14a,Query14b,Query14c,Query15a,Query15b,Query15c,Query15d,Query16a,Query16b,Query16c,Query16d,Query17a,Query17b,Query17c,Query17d,Query17e,Query17f,Query18a,Query18b,Query18c,Query19a,Query19b,Query19c,Query19d,Query20a,Query20b,Query20c,Query21a,Query21b,Query21c,Query22a,Query22b,Query22c,Query22d,Query23a,Query23b,Query23c,Query24a,Query24b,Query25a,Query25b,Query25c,Query26a,Query26b,Query26c,Query27a,Query27b,Query27c,Query28a,Query28b,Query28c,Query29a,Query29b,Query29c,Query30a,Query30b,Query30c,Query31a,Query31b,Query31c,Query32a,Query32b,Query33a,Query33b,Query33c
rkRelationSize,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
totalTuplesRemoved,85476,75,23097,86,215558,221750,232146,114563,14189,12959,8496,13465,1431,13630,0,0,266,1235,35763,45,631685,1235,21618,2660,592,724048,60653,320,3622526,524710,1876,497,18008,337087,40308,11294,1812231,10731,16,49195,47828,0,2645,0,0,665,176,0,40070,114,48318,3586,3461,1857,21921,42093,677926,75532,66173,857827,1043651,1058284,1053736,113788,864063,0,0,0,1830,73,16551,4779316,489384,210345,159140,10708,11548,10711,44638,40193,90744,48318,3545,1971,3576,16868,320,68966,23,113270,74690,13397,169717,12421,10868,10814,94559,88377,90541,335,366,4943,93736,76755,113270,93736,239,113270,1,41300,27068,2371,38926
totalTuplesRemovedRk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
totalTuplesRemovedInnerRelations,85476,75,23097,86,215558,221750,232146,114563,14189,12959,8496,13465,1431,13630,0,0,266,1235,35763,45,631685,1235,21618,2660,592,724048,60653,320,3622526,524710,1876,497,18008,337087,40308,11294,1812231,10731,16,49195,47828,0,2645,0,0,665,176,0,40070,114,48318,3586,3461,1857,21921,42093,677926,75532,66173,857827,1043651,1058284,1053736,113788,864063,0,0,0,1830,73,16551,4779316,489384,210345,159140,10708,11548,10711,44638,40193,90744,48318,3545,1971,3576,16868,320,68966,23,113270,74690,13397,169717,12421,10868,10814,94559,88377,90541,335,366,4943,93736,76755,113270,93736,239,113270,1,41300,27068,2371,38926
totalTuplesFiltered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
totalIntermediateResultsProduced,85907,85,23111,99,232151,232153,232151,232208,14571,13002,20601,15719,1452,27764,5,5,2238,1254,35799,54,631929,1254,835183,2942,755,802355,67825,367,10465336,1388167,9382,6094,99658,2031591,51176,12661,2239505,11959,198,71403,94893,8,5188,8,9,764,214,9,41529,126,54157,4103,3619,5020,36784,43571,8518322,971259,762353,2298062,2190345,2074418,2097233,6670681,4114625,7,7,7,9716,157,84404,10986356,933916,214620,437713,15723,11711,17488,44651,40206,92782,54160,5523,2419,5505,69975,556,68979,104,113285,128411,16268,340334,15166,12514,12984,98340,89172,91160,11134,2300,71938,110121,76784,113288,110120,263,113287,7,55010,28402,2504,46689
numberOfPassContextCalls,85476,75,23097,86,215558,221750,232147,114563,14205,12986,8500,13472,1431,13633,1,1,266,1235,35766,45,631685,1235,21618,2898,748,725151,67557,330,5736167,797459,8781,5918,68056,563587,50715,12655,2239443,10773,120,50013,47962,1,5181,1,1,756,206,1,41522,119,54150,3630,3491,1929,22898,42390,1197754,115833,95385,1678805,2043696,2068650,2061012,209051,1707157,1,1,1,8627,79,66551,4911632,933731,214489,416177,10727,11548,10828,44641,40196,92772,54150,3629,2338,3576,68228,320,68971,96,113277,119801,15933,308029,12437,10883,10866,98327,89159,91147,1554,2158,5999,110110,76773,113277,110110,253,113277,2,41300,28357,2469,46068
numberOfPassContextCallsInnerRelations,85476,75,23097,86,215558,221750,232146,114563,14189,12959,8496,13465,1431,13630,0,0,266,1235,35763,45,631685,1235,21618,2898,748,725151,60831,326,5736167,797459,2029,516,18260,563587,50715,11294,2154606,10773,85,50011,47962,0,2645,0,0,755,205,0,41519,118,54147,3630,3491,1929,22898,42390,1197754,115833,95385,1678805,2043696,2068650,2061012,209051,1707157,0,0,0,1871,73,16631,4911632,933730,214487,416176,10727,11548,10828,44638,40193,92769,54147,3629,2338,3576,18221,320,68966,23,113270,119798,15932,308028,12437,10883,10866,98324,89156,91144,1554,2158,5999,110103,76766,113270,110103,243,113270,1,41300,28357,2468,46068
numberOfPassContextCallsRk,0,0,0,0,0,0,1,0,16,27,4,7,0,3,1,1,0,0,3,0,0,0,0,0,0,0,6726,4,0,0,6752,5402,49796,0,0,1361,84837,0,35,2,0,1,2536,1,1,1,1,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,6756,6,49920,0,1,2,1,0,0,0,3,3,3,3,0,0,0,50007,0,5,73,7,3,1,1,0,0,0,3,3,3,0,0,0,7,7,7,7,10,7,1,0,0,1,0
numberOfInitPassContextCalls,85476,75,23097,86,215558,221750,232147,114563,14205,12986,8500,13472,1431,13633,1,1,266,1235,35766,45,631685,1235,21618,2660,592,724048,67379,324,3622526,524710,8628,5899,67804,337087,40308,12655,1897068,10731,51,49197,47828,1,5181,1,1,666,177,1,40073,115,48321,3586,3461,1857,21921,42093,677926,75532,66173,857827,1043651,1058284,1053736,113788,864063,1,1,1,8586,79,66471,4779316,489385,210347,159141,10708,11548,10711,44641,40196,90747,48321,3545,1971,3576,66875,320,68971,96,113277,74693,13398,169718,12421,10868,10814,94562,88380,90544,335,366,4943,93743,76762,113277,93743,249,113277,2,41300,27068,2372,38926
