statistics,Query1P1,Query1P2,Query1P3,Query2P1,Query2P2,Query2P3,Query3P1,Query3P2,Query3P3,Query3P4,Query4P1,Query4P2,Query4P3
rkRelationSize,785623,327915,164092,6001173,6001173,6001173,6001173,6001173,6001173,6001173,6001173,6001173,6001173
totalTuplesRemoved,2041,2375,2399,192991,199861,201343,17757,21311,22039,14634,98971,48075,24107
totalTuplesRemovedRk,2041,2375,2399,192991,199861,201343,17757,21311,22039,14634,98971,48075,24107
totalTuplesRemovedInnerRelations,0,0,0,0,0,0,0,0,0,0,0,0,0
totalTuplesFiltered,664847,321289,161223,5762156,5790735,5798608,5736595,5971256,5978795,5986534,5811849,5931295,5976967
totalIntermediateResultsProduced,120777,6627,2870,525685,433007,407908,777317,70153,46866,27400,723652,240427,53163
numberOfPassContextCalls,2041,2375,2399,387604,401273,404239,36851,44332,45846,27382,362236,153211,52763
numberOfPassContextCallsInnerRelations,0,0,0,194613,201412,202896,19094,23021,23807,12748,263265,105136,28656
numberOfPassContextCallsRk,2041,2375,2399,192991,199861,201343,17757,21311,22039,14634,98971,48075,24107
numberOfInitPassContextCalls,2041,2375,2399,192991,199861,201343,17757,21311,22039,14634,98971,48075,24107
totalInputSizeAfterEvaluation,119100,4282,477,57032,15165,4369,255513,12134,2770,275,179000,108623,10205
bloomFiltersProbingTime,0,0,0,0,0,0,0,0,0,0,0,0,0
buildBloomFiltersTime,0,0,0,0,0,0,0,0,0,0,0,0,0
fullReducerTime,0,0,0,0,0,0,0,0,0,0,0,0,0
deleteDanglingTupleFromHTime,0,0,0,0,0,0,0,0,0,0,0,0,0
noGoodListConstructTime,0,0,0,10,10,11,2,2,2,2,6,4,3
buildNoGoodListTime,182299,185249,185581,86332851,66594801,62013572,3910569,4668164,3890458,6149628,65371486,26305909,8517087
noGoodListProbingTime,25,12,7,252,224,224,233,216,215,152,337,275,261
evaluationMemoryCostInBytes,368944552,96146760,70954632,313699832,139529560,113350328,196060456,370055168,341522800,191172568,192657920,140072544,405435824
noGoodListSizeInBytes,16856,16856,16856,1065704,2114280,2114280,150120,150120,150120,86632,672560,426672,180912
noGoodListSize,2041,2375,2399,192991,199861,201343,17757,21311,22039,14634,98971,48075,24107
