statistics,Query3W,Query7aW,Query7bW,Query8W,Query9W,Query10W,Query11W,Query12W,Query14W,Query15W,Query16W,Query18W,Query19aW,Query19bW,Query19cW,Query20W
rkRelationSize,727305,150000,150000,6001215,6001215,150000,10000,1500000,200000,10000,799680,150000,47244,46782,47267,4397
totalTuplesRemoved,215011,140414,145211,259563,189336,120074,24,1470901,136888,9999,170419,149943,42028,41584,42057,24
totalTuplesRemovedRk,215011,3975,4189,239050,189336,112033,24,1470901,136888,9999,170419,149943,42028,41584,42057,24
totalTuplesRemovedInnerRelations,0,136439,141022,20513,0,8041,0,0,0,0,0,0,0,0,0,0
totalTuplesFiltered,500674,144068,143876,5759562,5492475,0,9580,0,0,0,510987,0,5191,5158,5154,4175
totalIntermediateResultsProduced,373759,157113,161771,399294,1786361,264141,818,1500001,200001,10001,288694,150059,42054,41625,42114,223
numberOfPassContextCalls,350517,144365,149376,381066,189336,128115,24,1470901,136888,9999,170419,149943,42028,41584,42057,24
numberOfPassContextCallsInnerRelations,135506,140390,145187,142016,0,16082,0,0,0,0,0,0,0,0,0,0
numberOfPassContextCallsRk,215011,3975,4189,239050,189336,112033,24,1470901,136888,9999,170419,149943,42028,41584,42057,24
numberOfInitPassContextCalls,215011,140414,145211,259563,189336,120074,24,1470901,136888,9999,170419,149943,42028,41584,42057,24
totalInputSizeAfterEvaluation,3283538,3203970,3199365,600855,2640093,1565890,800397,60087,139095,2,147855,6001329,113,199,294,199
bloomFiltersProbingTime,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
buildBloomFiltersTime,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fullReducerTime,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deleteDanglingTupleFromHTime,0,178140138,190329410,20436397,0,5854761,0,0,0,0,0,0,0,0,0,0
noGoodListConstructTime,10,0,0,12,77,7,0,47,7,2,9,8,4,1,1,0
buildNoGoodListTime,238914960,5205549,5670786,138850879,229168388,81539794,7551,754198399,29115392,1367877,26823165,238858203,2608763,2151747,1843966,3988
noGoodListProbingTime,48,7,8,309,2241,10,1,70,9,2,30,7,3,6,2,1
evaluationMemoryCostInBytes,657561440,745677608,895774720,230667744,927672048,669189168,561946112,492054112,327414480,58593536,809706560,1488107520,146738008,30120880,59481008,45829920
noGoodListSizeInBytes,1573408,33440,33440,2360040,39352240,1049248,800,8389080,1049048,66008,1049048,1049048,262616,262616,262616,600
noGoodListSize,215011,3975,4189,239050,189336,112033,24,1470901,136888,9999,170419,149943,42028,41584,42057,24
