statistics,Query1P1,Query1P2,Query1P3,Query2P1,Query2P2,Query2P3,Query3P1,Query3P2,Query3P3,Query3P4,Query4P1,Query4P2,Query4P3
rkRelationSize,785623,327915,164092,6001173,6001173,6001173,6001173,6001173,6001173,6001173,6001173,6001173,6001173
totalTuplesRemoved,666888,323664,163622,5955147,5990596,5999951,5754352,5992567,6000834,6001168,5910820,5979370,6001074
totalTuplesRemovedRk,0,0,0,0,0,0,0,0,0,0,0,0,0
totalTuplesRemovedInnerRelations,0,0,0,0,0,0,0,0,0,0,0,0,0
totalTuplesFiltered,0,0,0,0,0,0,0,0,0,0,0,0,0
totalIntermediateResultsProduced,118736,4252,471,138081,31734,3669,740466,25821,1020,18,361416,87216,400
numberOfPassContextCalls,0,0,0,0,0,0,0,0,0,0,0,0,0
numberOfPassContextCallsInnerRelations,0,0,0,0,0,0,0,0,0,0,0,0,0
numberOfPassContextCallsRk,0,0,0,0,0,0,0,0,0,0,0,0,0
numberOfInitPassContextCalls,0,0,0,0,0,0,0,0,0,0,0,0,0
totalInputSizeAfterEvaluation,119100,4282,477,57032,15165,4369,255513,12134,2770,275,179000,108623,10205
bloomFiltersProbingTime,0,0,0,0,0,0,0,0,0,0,0,0,0
buildBloomFiltersTime,0,0,0,0,0,0,0,0,0,0,0,0,0
fullReducerTime,0,0,0,0,0,0,0,0,0,0,0,0,0
deleteDanglingTupleFromHTime,0,0,0,0,0,0,0,0,0,0,0,0,0
noGoodListConstructTime,0,0,0,0,0,0,0,0,0,0,0,0,0
buildNoGoodListTime,0,0,0,0,0,0,0,0,0,0,0,0,0
noGoodListProbingTime,0,0,0,0,0,0,0,0,0,0,0,0,0
evaluationMemoryCostInBytes,332782056,242824616,158944040,2533867392,230386240,1222484744,664211648,1446104768,1494398688,1300882624,1594623488,874749872,238473904
noGoodListSizeInBytes,0,0,0,0,0,0,0,0,0,0,0,0,0
noGoodListSize,0,0,0,0,0,0,0,0,0,0,0,0,0
