statistics,Query1P1,Query1P2,Query1P3,Query2P1,Query2P2,Query2P3,Query3P1,Query3P2,Query3P3,Query3P4,Query4P1,Query4P2,Query4P3
rkRelationSize,785623,327915,164092,6001173,6001173,6001173,6001173,6001173,6001173,6001173,6001173,6001173,6001173
totalTuplesRemoved,666888,323664,163622,5955087,5990342,6001176,5755509,5993029,6002764,6001424,5938532,6042155,6010838
totalTuplesRemovedRk,0,0,0,0,0,0,0,0,0,0,0,0,0
totalTuplesRemovedInnerRelations,0,0,0,0,0,0,0,0,0,0,0,0,0
totalTuplesFiltered,0,0,0,0,0,0,0,0,0,0,0,0,0
totalIntermediateResultsProduced,118736,4252,471,138559,32588,4139,742823,25879,1062,18,361806,87294,404
numberOfPassContextCalls,0,0,0,0,0,0,0,0,0,0,0,0,0
numberOfPassContextCallsInnerRelations,0,0,0,0,0,0,0,0,0,0,0,0,0
numberOfPassContextCallsRk,0,0,0,0,0,0,0,0,0,0,0,0,0
numberOfInitPassContextCalls,0,0,0,0,0,0,0,0,0,0,0,0,0
totalInputSizeAfterEvaluation,119100,4282,477,57092,15419,3144,254356,11672,840,19,151288,45838,441
bloomFiltersProbingTime,0,0,0,0,0,0,0,0,0,0,0,0,0
buildBloomFiltersTime,0,0,0,0,0,0,0,0,0,0,0,0,0
fullReducerTime,0,0,0,0,0,0,0,0,0,0,0,0,0
deleteDanglingTupleFromHTime,0,0,0,0,0,0,0,0,0,0,0,0,0
noGoodListConstructTime,0,0,0,0,0,0,0,0,0,0,0,0,0
buildNoGoodListTime,0,0,0,0,0,0,0,0,0,0,0,0,0
noGoodListProbingTime,0,0,0,0,0,0,0,0,0,0,0,0,0
evaluationMemoryCostInBytes,310500992,43901312,34091144,305011456,159078128,122951104,1032832376,145337280,118411520,105159472,541177408,255361448,135142368
noGoodListSizeInBytes,0,0,0,0,0,0,0,0,0,0,0,0,0
noGoodListSize,0,0,0,0,0,0,0,0,0,0,0,0,0
