statistics,Query1P1,Query1P2,Query1P3,Query2P1,Query2P2,Query2P3,Query3P1,Query3P2,Query3P3,Query3P4,Query4P1,Query4P2,Query4P3
rkRelationSize,785623,327915,164092,6001173,6001173,6001173,6001173,6001173,6001173,6001173,6001173,6001173,6001173
totalTuplesRemoved,666888,323664,163622,5955326,5990776,6001561,5756395,5993058,6002805,6001424,5938692,6042212,6010841
totalTuplesRemovedRk,0,0,0,0,0,0,0,0,0,0,0,0,0
totalTuplesRemovedInnerRelations,0,0,0,0,0,0,0,0,0,0,0,0,0
totalTuplesFiltered,0,0,0,0,0,0,0,0,0,0,0,0,0
totalIntermediateResultsProduced,118736,4252,471,138081,31734,3669,740466,25821,1020,18,361416,87216,400
numberOfPassContextCalls,0,0,0,0,0,0,0,0,0,0,0,0,0
numberOfPassContextCallsInnerRelations,0,0,0,0,0,0,0,0,0,0,0,0,0
numberOfPassContextCallsRk,0,0,0,0,0,0,0,0,0,0,0,0,0
numberOfInitPassContextCalls,0,0,0,0,0,0,0,0,0,0,0,0,0
totalInputSizeAfterEvaluation,119100,4282,477,56853,14985,2759,253470,11643,799,19,151128,45781,438
bloomFiltersProbingTime,0,0,0,0,0,0,0,0,0,0,0,0,0
buildBloomFiltersTime,0,0,0,0,0,0,0,0,0,0,0,0,0
fullReducerTime,529,298,255,2889,2062,2131,3330,2168,2049,1518,3003,2330,1848
deleteDanglingTupleFromHTime,0,0,0,0,0,0,0,0,0,0,0,0,0
noGoodListConstructTime,0,0,0,0,0,0,0,0,0,0,0,0,0
buildNoGoodListTime,0,0,0,0,0,0,0,0,0,0,0,0,0
noGoodListProbingTime,0,0,0,0,0,0,0,0,0,0,0,0,0
evaluationMemoryCostInBytes,428891480,289164912,159338920,3896193320,754276336,2014864848,6136314496,1886549888,2010184152,579613664,2947314240,1675430584,993699936
noGoodListSizeInBytes,0,0,0,0,0,0,0,0,0,0,0,0,0
noGoodListSize,0,0,0,0,0,0,0,0,0,0,0,0,0
