statistics,Query1a,Query1b,Query1c,Query1d,Query2a,Query2b,Query2c,Query2d,Query3a,Query3b,Query3c,Query4a,Query4b,Query4c,Query5a,Query5b,Query5c,Query6a,Query6b,Query6c,Query6d,Query6e,Query6f,Query7a,Query7b,Query7c,Query8a,Query8b,Query8c,Query8d,Query9a,Query9b,Query9c,Query9d,Query10a,Query10b,Query10c,Query11a,Query11b,Query11c,Query11d,Query12a,Query12b,Query12c,Query13a,Query13b,Query13c,Query13d,Query14a,Query14b,Query14c,Query15a,Query15b,Query15c,Query15d,Query16a,Query16b,Query16c,Query16d,Query17a,Query17b,Query17c,Query17d,Query17e,Query17f,Query18a,Query18b,Query18c,Query19a,Query19b,Query19c,Query19d,Query20a,Query20b,Query20c,Query21a,Query21b,Query21c,Query22a,Query22b,Query22c,Query22d,Query23a,Query23b,Query23c,Query24a,Query24b,Query25a,Query25b,Query25c,Query26a,Query26b,Query26c,Query27a,Query27b,Query27c,Query28a,Query28b,Query28c,Query29a,Query29b,Query29c,Query30a,Query30b,Query30c,Query31a,Query31b,Query31c,Query32a,Query32b,Query33a,Query33b,Query33c
rkRelationSize,28889,1337088,17816,1337088,2609129,2609129,2609129,2609129,4523930,4523930,4523930,517682,8322,806365,24025,1418,295628,4523930,4523930,4523930,4523930,4523930,4523930,64,1,84183,93095,93095,36244344,36244344,867477,713828,867477,867477,32288,1435439,1435439,1271989,1271989,1337140,1337140,2609129,2609129,2609129,2609129,2609129,2609129,2609129,1337634,373409,716210,61664,61664,2609129,2609129,4523930,36244344,4523930,4523930,2609129,36244344,36244344,36244344,2609129,36244344,2379271,73047,1244716,867477,713828,867477,867477,135086,36244344,36244344,1271989,1271989,1271989,303271,303271,303271,2609129,2609129,2609129,2609129,867477,867477,30801,30801,188971,36244344,36244344,36244344,1271989,1271989,1271989,303271,303271,303271,836701,836701,867477,135086,135086,135086,73047,73047,188971,29997,29997,2609129,1380035,1380035
totalTuplesRemoved,56962,127888,12604,158675,1462377,1169333,235000,3878929,184521,223329,159584,1049346,1413,2453197,2,1365,149,219352,434053,431572,769245,166347,176505,2755,20371,819965,3537,10275,1824727,427182,93861,85904,99954,185332,26360,16,23,807976,904509,277746,3179830,760443,1075211,712613,535941,911507,924965,2876956,554289,281617,1218045,45802,16513,795966,795922,419085,6758011,295834,296644,4519170,5004138,4094779,4288513,3877208,6935031,483718,81972,457208,122632,152030,118795,344774,1667388,2996846,2830799,807940,802942,1234489,230377,176518,470957,1302253,1001812,1001964,934784,144178,171232,138414,30371,1123607,2787649,2639557,2835754,498223,355148,353897,241978,176321,249124,100685,100738,97594,47467,23589,228069,158249,64370,1065942,31482,30402,1255138,893582,761342
totalTuplesRemovedRk,18578,84416,9343,84415,302796,258320,234998,679825,184521,223329,159584,352435,349,445206,2,1365,149,218134,433854,431541,184842,165129,176505,61,0,79879,3536,10275,877869,130529,93857,85904,95104,127243,16294,16,10,348273,904494,147498,668153,759850,1060397,709984,238698,910118,924793,493635,457811,281566,606910,45802,16513,795966,795886,418960,2495451,261892,271890,686951,4040954,4048137,4028282,680148,3146821,390510,63866,425001,122630,152030,117308,131528,85947,2363489,2471816,348275,348281,348271,157711,172768,147424,871917,827630,827631,796011,142061,171137,28642,30330,139037,2464007,2460822,2471816,348278,348280,348279,144474,148342,148085,100452,100452,95628,19168,23302,16506,63743,63870,144443,6411,5871,701458,459926,459914
totalTuplesRemovedInnerRelations,38384,43472,3261,74260,1159581,911013,2,3199104,0,0,0,696911,1064,2007991,0,0,0,1218,199,31,584403,1218,0,2694,20371,740086,1,0,946858,296653,4,0,4850,58089,10066,0,13,459703,15,130248,2511677,593,14814,2629,297243,1389,172,2383321,96478,51,611135,0,0,0,36,125,4262560,33942,24754,3832219,963184,46642,260231,3197060,3788210,93208,18106,32207,2,0,1487,213246,1581441,633357,358983,459665,454661,886218,72666,3750,323533,430336,174182,174333,138773,2117,95,109772,41,984570,323642,178735,363938,149945,6868,5618,97504,27979,101039,233,286,1966,28299,287,211563,94506,500,921499,25071,24531,553680,433656,301428
totalTuplesFiltered,10169,1252669,8470,1252669,2298499,2345582,2374131,1861029,4339266,4300596,4358310,164683,7968,357392,24023,53,294830,4305792,4090070,4092388,4339016,4358797,4333387,0,0,1743,89534,82816,34945964,36060096,773590,627911,771235,690166,15923,1435423,1435423,923695,367493,1189600,668542,1848894,1548722,1894710,2354787,1698954,1684322,2034593,879340,91842,106558,15844,45149,1813035,1812849,4104954,33336181,4258189,4248975,1870388,32197144,32195971,32214193,1861536,32956946,1988351,9171,800298,744825,561797,749825,708363,49135,33880851,33768926,923696,923706,923692,144287,130489,146321,1715406,1781496,1781497,1813114,725410,696337,472,468,40848,33779318,33783475,33768932,923701,923704,923703,156839,154852,151373,736248,736248,771846,115762,111782,117205,9163,9171,44235,23586,19738,1907669,920108,920108
totalIntermediateResultsProduced,94688,177603,16677,250180,1664057,1251960,235008,5246202,275469,271374,295472,1262699,1574,3050106,7,1369,3004,267032,434874,432376,891875,269342,1107264,3225,21592,1348122,4737,10393,8458498,1385495,95020,87090,124697,923190,39116,23,92,1299479,904590,426258,5130258,992960,1080476,1264947,871947,914113,925355,5085716,624332,281646,1800276,157847,25934,1939540,1962542,423194,21147550,889927,757988,6293002,5482904,4119139,4391574,8275305,11622332,499126,144255,1238678,153141,152108,199769,1974426,3362583,5026753,3337067,1299742,1278602,1787661,296382,180203,794762,2330848,1577820,1577360,1911288,169829,171340,227811,30454,1683968,3556659,3370221,3631570,1017924,769995,938315,593479,361543,498356,107262,106235,122869,59780,23671,321693,317948,64802,1555688,50720,69960,2011860,1429519,1591534
numberOfPassContextCalls,94116,177587,16661,250160,1632717,1231047,235004,4973057,275037,271356,277361,1260263,1549,3034101,3,1365,384,267010,434840,432367,891567,269320,279669,3165,21522,1254350,4555,10363,4682006,845427,94753,86972,113140,444093,38618,17,42,1299036,904533,419053,5112660,990222,1080399,1233067,651330,913334,925196,3849011,620590,281632,1776956,157159,25840,1935352,1945168,422397,13610845,462661,424946,5775703,5399360,4116035,4370683,5105437,9806203,496660,144186,1096202,152714,152086,193978,657861,3362497,5026695,3302836,1299014,1278506,1786693,276690,179986,647439,2072871,1577157,1577317,1910606,169534,171280,209891,30419,1571497,3543312,3369555,3590199,1017479,769749,937795,558301,360316,443000,106118,106171,109249,56484,23590,287516,312572,64454,1546504,50715,48015,2011815,1429490,1591103
numberOfPassContextCallsInnerRelations,75538,93171,7318,165745,1329921,972727,6,4293232,90516,48027,117777,907828,1200,2588895,1,0,235,48876,986,826,706725,104191,103164,3104,21522,1174471,1019,88,3804137,714898,896,1068,18036,316850,22324,1,32,950763,39,271555,4444507,230372,20002,523083,412632,3216,403,3355376,162779,66,1170046,111357,9327,1139386,1149282,3437,11115394,200769,153056,5088752,1358406,67898,342401,4425289,6659382,106150,80320,671201,30084,56,76670,526333,3276550,2663206,831020,950739,930225,1438422,118979,7218,500015,1200954,749527,749686,1114595,27473,143,181249,89,1432460,1079305,908733,1118383,669201,421469,589516,413827,211974,294915,5666,5719,13621,37316,288,271010,248829,584,1402061,44304,42144,1310357,969564,1131189
numberOfPassContextCallsRk,18578,84416,9343,84415,302796,258320,234998,679825,184521,223329,159584,352435,349,445206,2,1365,149,218134,433854,431541,184842,165129,176505,61,0,79879,3536,10275,877869,130529,93857,85904,95104,127243,16294,16,10,348273,904494,147498,668153,759850,1060397,709984,238698,910118,924793,493635,457811,281566,606910,45802,16513,795966,795886,418960,2495451,261892,271890,686951,4040954,4048137,4028282,680148,3146821,390510,63866,425001,122630,152030,117308,131528,85947,2363489,2471816,348275,348281,348271,157711,172768,147424,871917,827630,827631,796011,142061,171137,28642,30330,139037,2464007,2460822,2471816,348278,348280,348279,144474,148342,148085,100452,100452,95628,19168,23302,16506,63743,63870,144443,6411,5871,701458,459926,459914
numberOfInitPassContextCalls,56962,127888,12604,158675,1462377,1169333,235000,3878929,184521,223329,159584,1049346,1413,2453197,2,1365,149,219352,434053,431572,769245,166347,176505,2755,20371,819965,3537,10275,1824727,427182,93861,85904,99954,185332,26360,16,23,807976,904509,277746,3179830,760443,1075211,712613,535941,911507,924965,2876956,554289,281617,1218045,45802,16513,795966,795922,419085,6758011,295834,296644,4519170,5004138,4094779,4288513,3877208,6935031,483718,81972,457208,122632,152030,118795,344774,1667388,2996846,2830799,807940,802942,1234489,230377,176518,470957,1302253,1001812,1001964,934784,144178,171232,138414,30371,1123607,2787649,2639557,2835754,498223,355148,353897,241978,176321,249124,100685,100738,97594,47467,23589,228069,158249,64370,1065942,31482,30402,1255138,893582,761342
totalInputSizeAfterEvaluation,3870107,2052827,1768445,2687234,5910271,6148797,7052242,4006257,1166990,393988,2461772,4840534,4914568,4268769,1166931,944557,2456469,36634799,36244599,36244755,37041476,37624586,41807334,37829821,37096769,38286134,3506240,937587,9764772,10048185,5832202,4843292,9310266,10217501,6753759,6142500,7583352,5053132,4602255,6711105,4540021,857771,16288334,1649604,18472247,16301488,16300738,16526494,5526281,5231013,6266098,6487662,5737610,6855363,6864620,44075287,10965201,44923964,44678018,39944400,8975605,9852627,9643223,44419306,6785452,18660333,3025294,5824109,5749969,4399941,8617081,23728724,45641641,5407160,10032745,5207064,5306933,6552632,7083139,7022100,7402928,7308405,6087093,5952762,6490085,12000402,11525921,11308494,8888302,10441097,10258343,9893529,11407820,5632207,4911281,7568301,8125012,6212785,7754797,11718888,11655413,15900292,10314629,8961567,11395366,13931355,8896281,15532426,9555502,9560430,7434329,8374648,9566454
