statistics,Query1a,Query1b,Query1c,Query1d,Query2a,Query2b,Query2c,Query2d,Query3a,Query3b,Query3c,Query4a,Query4b,Query4c,Query5a,Query5b,Query5c,Query6a,Query6b,Query6c,Query6d,Query6e,Query6f,Query7a,Query7b,Query7c,Query8a,Query8b,Query8c,Query8d,Query9a,Query9b,Query9c,Query9d,Query10a,Query10b,Query10c,Query11a,Query11b,Query11c,Query11d,Query12a,Query12b,Query12c,Query13a,Query13b,Query13c,Query13d,Query14a,Query14b,Query14c,Query15a,Query15b,Query15c,Query15d,Query16a,Query16b,Query16c,Query16d,Query17a,Query17b,Query17c,Query17d,Query17e,Query17f,Query18a,Query18b,Query18c,Query19a,Query19b,Query19c,Query19d,Query20a,Query20b,Query20c,Query21a,Query21b,Query21c,Query22a,Query22b,Query22c,Query22d,Query23a,Query23b,Query23c,Query24a,Query24b,Query25a,Query25b,Query25c,Query26a,Query26b,Query26c,Query27a,Query27b,Query27c,Query28a,Query28b,Query28c,Query29a,Query29b,Query29c,Query30a,Query30b,Query30c,Query31a,Query31b,Query31c,Query32a,Query32b,Query33a,Query33b,Query33c
rkRelationSize,28889,1337088,17816,1337088,2609129,2609129,2609129,2609129,4523930,4523930,4523930,517682,8322,806365,24025,1418,295628,4523930,4523930,4523930,4523930,4523930,4523930,64,1,84183,93095,93095,36244344,36244344,867477,713828,867477,867477,32288,1435439,1435439,1271989,1271989,1337140,1337140,2609129,2609129,2609129,2609129,2609129,2609129,2609129,1337634,373409,716210,61664,61664,2609129,2609129,4523930,36244344,4523930,4523930,2609129,36244344,36244344,36244344,2609129,36244344,2379271,73047,1244716,867477,713828,867477,867477,135086,36244344,36244344,1271989,1271989,1271989,303271,303271,303271,2609129,2609129,2609129,2609129,867477,867477,30801,30801,188971,36244344,36244344,36244344,1271989,1271989,1271989,303271,303271,303271,836701,836701,867477,135086,135086,135086,73047,73047,188971,29997,29997,2609129,1380035,1380035
totalTuplesRemoved,1408532,2717110,1397598,2717109,7083385,7085992,7091219,7022944,4523787,4523925,4517894,5028097,4519296,5313577,24025,1418,294979,40767784,40767782,40767787,40767716,40767784,4509892,36215444,36274090,35820070,93639,93165,37279164,37645956,916345,735269,2321670,2272740,2632556,4035778,2890764,5813036,5814212,5813625,5813222,2647448,18703001,2678019,17178083,15330006,15328431,17112826,6209087,4970583,6203422,61646,61662,2609001,2608866,25940843,41769053,25937010,25937794,40165740,40720188,40726198,40724565,7023774,40585857,18012828,1256030,2147786,916418,735281,2322529,14094223,42662040,41889305,41897164,5813039,5813055,5813031,5785813,5771164,5885658,8179236,3827058,8349857,3949049,6837040,7990742,6097256,6098940,6233409,41971014,41640806,42817280,5837639,5837644,5880074,6051964,5190874,5958395,9275957,9754136,9306731,6189243,6189397,6189612,8733745,6134393,8163319,4553926,4507699,7075978,7164952,4523987
totalTuplesRemovedRk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
totalTuplesRemovedInnerRelations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
totalTuplesFiltered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
totalIntermediateResultsProduced,572,16,16,20,31340,20913,0,273145,432,18,18111,2436,25,16005,0,0,2620,22,34,9,308,22,827595,60,70,93772,182,30,3776492,540068,267,118,11557,479097,498,0,50,443,57,7205,17598,2738,77,31880,220617,779,159,1236705,3742,14,23320,688,94,4188,17374,797,7536705,427266,333042,517299,83544,3104,20891,3169868,1816129,2466,69,142476,427,22,5791,1316565,86,58,34231,728,96,968,19692,217,147323,257977,663,43,682,295,60,17920,35,112471,13347,666,41371,445,246,520,35178,1227,55356,1144,64,13620,3296,81,34177,5376,348,9184,0,21945,45,29,431
numberOfPassContextCalls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
numberOfPassContextCallsInnerRelations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
numberOfPassContextCallsRk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
numberOfInitPassContextCalls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
