statistics,Query1a,Query1b,Query1c,Query1d,Query2a,Query2b,Query2c,Query2d,Query3a,Query3b,Query3c,Query4a,Query4b,Query4c,Query5a,Query5b,Query5c,Query6a,Query6b,Query6c,Query6d,Query6e,Query6f,Query7a,Query7b,Query7c,Query8a,Query8b,Query8c,Query8d,Query9a,Query9b,Query9c,Query9d,Query10a,Query10b,Query10c,Query11a,Query11b,Query11c,Query11d,Query12a,Query12b,Query12c,Query13a,Query13b,Query13c,Query13d,Query14a,Query14b,Query14c,Query15a,Query15b,Query15c,Query15d,Query16a,Query16b,Query16c,Query16d,Query17a,Query17b,Query17c,Query17d,Query17e,Query17f,Query18a,Query18b,Query18c,Query19a,Query19b,Query19c,Query19d,Query20a,Query20b,Query20c,Query21a,Query21b,Query21c,Query22a,Query22b,Query22c,Query22d,Query23a,Query23b,Query23c,Query24a,Query24b,Query25a,Query25b,Query25c,Query26a,Query26b,Query26c,Query27a,Query27b,Query27c,Query28a,Query28b,Query28c,Query29a,Query29b,Query29c,Query30a,Query30b,Query30c,Query31a,Query31b,Query31c,Query32a,Query32b,Query33a,Query33b,Query33c
rkRelationSize,28889,1337088,17816,1337088,2609129,2609129,2609129,2609129,4523930,4523930,4523930,517682,8322,806365,24025,1418,295628,4523930,4523930,4523930,4523930,4523930,4523930,64,1,84183,93095,93095,36244344,36244344,867477,713828,867477,867477,32288,1435439,1435439,1271989,1271989,1337140,1337140,2609129,2609129,2609129,2609129,2609129,2609129,2609129,1337634,373409,716210,61664,61664,2609129,2609129,4523930,36244344,4523930,4523930,2609129,36244344,36244344,36244344,2609129,36244344,2379271,73047,1244716,867477,713828,867477,867477,36244344,36244344,36244344,1271989,1271989,1271989,303271,303271,303271,2609129,2609129,2609129,2609129,867477,867477,30801,30801,188971,36244344,36244344,36244344,1271989,1271989,1271989,303271,303271,303271,836701,836701,867477,135086,135086,135086,73047,73047,188971,29997,29997,2609129,1380035,1380035
totalTuplesRemoved,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
totalTuplesRemovedRk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
totalTuplesRemovedInnerRelations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
totalTuplesFiltered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
totalIntermediateResultsProduced,148224,1829783,32948,2212181,5013802,4921007,2609139,17094360,5779259,4823872,7274477,1480818,10308,3649649,27958,1422,402569,4824703,4525407,4525023,7293956,6495549,7293956,3233,41128,1642600,94904,93349,84368091,74121629,869249,715179,908848,2551044,64059,1698488,2506832,2286409,1272136,4290519,27132565,3271195,2680667,4177663,3514955,2617057,2610107,9744051,1627003,373507,1989302,192396,101174,6242863,6292634,4543496,1140531484,5892946,5512790,21450564,38394321,36334774,36668072,21450564,77388083,2490545,167295,2537972,1088424,713919,1393782,7835845,36246840,36246104,38543148,2415759,2434943,3071817,748995,312011,3614040,10988364,4579895,4579895,5479094,989457,867694,264186,30926,3303540,39075846,38362996,39111981,1749052,1521277,1892604,1871206,757955,2100287,846029,844669,1118979,240121,135661,647408,431328,76312,4019349,408185,408185,6486665,3269751,3440491
totalIntermediateResultsProducedWithoutNULL,148220,1829779,32944,2212177,5013798,4921003,2609135,17094356,5779256,4823869,7274474,1480814,10304,3649645,27954,1418,402565,4824699,4525403,4525019,7293952,6495545,7293952,3226,41121,1642593,94898,93343,84368085,74121623,869242,715172,908841,2551037,64053,1698482,2506826,2286402,1272129,4290512,27132558,3271188,2680660,4177656,3514947,2617049,2610099,9744043,1626996,373500,1989295,192388,101166,6242855,6292626,4543489,1140531477,5892939,5512783,21450558,38394315,36334768,36668066,21450558,77388077,2490539,167289,2537966,1088415,713910,1393773,7835836,36246831,36246095,38543139,2415751,2434935,3071809,748985,312001,3614030,10988354,4579885,4579885,5479084,989446,867683,264178,30918,3303532,39075835,38362985,39111970,1749041,1521266,1892593,1871193,757942,2100274,846013,844653,1118963,240110,135650,647397,431318,76302,4019339,408180,408180,6486652,3269738,3440478
numberOfPassContextCalls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
numberOfPassContextCallsInnerRelations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
numberOfPassContextCallsRk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
