statistics,Query1a,Query1b,Query1c,Query1d,Query2a,Query2b,Query2c,Query2d,Query3a,Query3b,Query3c,Query4a,Query4b,Query4c,Query5a,Query5b,Query5c,Query6a,Query6b,Query6c,Query6d,Query6e,Query6f,Query7a,Query7b,Query7c,Query8a,Query8b,Query8c,Query8d,Query9a,Query9b,Query9c,Query9d,Query10a,Query10b,Query10c,Query11a,Query11b,Query11c,Query11d,Query12a,Query12b,Query12c,Query13a,Query13b,Query13c,Query13d,Query14a,Query14b,Query14c,Query15a,Query15b,Query15c,Query15d,Query16a,Query16b,Query16c,Query16d,Query17a,Query17b,Query17c,Query17d,Query17e,Query17f,Query18a,Query18b,Query18c,Query19a,Query19b,Query19c,Query19d,Query20a,Query20b,Query20c,Query21a,Query21b,Query21c,Query22a,Query22b,Query22c,Query22d,Query23a,Query23b,Query23c,Query24a,Query24b,Query25a,Query25b,Query25c,Query26a,Query26b,Query26c,Query27a,Query27b,Query27c,Query28a,Query28b,Query28c,Query29a,Query29b,Query29c,Query30a,Query30b,Query30c,Query31a,Query31b,Query31c,Query32a,Query32b,Query33a,Query33b,Query33c
rkRelationSize,28889,1337088,17816,1337088,2609129,2609129,2609129,2609129,4523930,4523930,4523930,517682,8322,806365,24025,1418,295628,4523930,4523930,4523930,4523930,4523930,4523930,64,1,84183,93095,93095,36244344,36244344,867477,713828,867477,867477,32288,1435439,1435439,1271989,1271989,1337140,1337140,2609129,2609129,2609129,2609129,2609129,2609129,2609129,1337634,373409,716210,61664,61664,2609129,2609129,4523930,36244344,4523930,4523930,2609129,36244344,36244344,36244344,2609129,36244344,2379271,73047,1244716,867477,713828,867477,867477,36244344,36244344,36244344,1271989,1271989,1271989,303271,303271,303271,2609129,2609129,2609129,2609129,867477,867477,30801,30801,188971,36244344,36244344,36244344,1271989,1271989,1271989,303271,303271,303271,836701,836701,867477,135086,135086,135086,73047,73047,188971,29997,29997,2609129,1380035,1380035
totalTuplesRemoved,38384,43472,3261,74260,1159581,911013,2,3199104,0,0,0,696911,1064,2007991,0,0,0,1218,199,31,584403,1218,0,2694,20371,740086,1,0,1020063,372166,5,0,5094,60433,10066,0,13,459703,15,130248,2511677,593,14814,2629,297243,1389,172,2383321,96506,51,611135,0,0,0,36,125,4269182,33942,24754,3832219,963184,46642,260231,3197060,3788210,93208,18103,32207,2,0,2860,216828,937,736,358983,459665,454661,886218,42295,2309,264160,432597,174182,174333,138773,2121,95,109788,41,984570,323642,178735,363938,3704,101,632,108180,27979,101032,233,286,1967,28299,287,211577,94429,500,921499,25071,24531,553680,433656,301428
totalTuplesRemovedRk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
totalTuplesRemovedInnerRelations,38384,43472,3261,74260,1159581,911013,2,3199104,0,0,0,696911,1064,2007991,0,0,0,1218,199,31,584403,1218,0,2694,20371,740086,1,0,1020063,372166,5,0,5094,60433,10066,0,13,459703,15,130248,2511677,593,14814,2629,297243,1389,172,2383321,96506,51,611135,0,0,0,36,125,4269182,33942,24754,3832219,963184,46642,260231,3197060,3788210,93208,18103,32207,2,0,2860,216828,937,736,358983,459665,454661,886218,42295,2309,264160,432597,174182,174333,138773,2121,95,109788,41,984570,323642,178735,363938,3704,101,632,108180,27979,101032,233,286,1967,28299,287,211577,94429,500,921499,25071,24531,553680,433656,301428
totalTuplesFiltered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
totalIntermediateResultsProduced,124733,1776962,28838,2120230,4072812,3638194,2609139,8184149,5779259,4823872,7274477,1480818,10308,3649649,27958,1422,402569,4824703,4525235,4525023,7092970,6495549,7293956,3225,21592,1350379,94904,93349,81891199,73831760,869207,715177,904252,2293364,60535,1698488,2506832,2157015,1272085,3647810,7243811,3269687,2635363,4170713,3335553,2615720,2610008,7964164,1570950,373494,1930995,190522,100996,6231979,6261531,4541151,143599177,5621957,5327289,10599174,37810544,36318410,36616643,12538309,51160030,2487725,163241,2504180,1088270,713919,1387837,3540268,36245978,36245725,37560795,2286325,2263283,2781005,446515,310747,1129983,5432706,4212513,4212062,5141829,968487,867694,228904,30922,1863842,38055261,37835716,38111668,1734249,1520268,1882646,1153512,708357,984692,844620,843593,898340,213133,135478,506973,349030,73997,1759475,145064,148912,5018305,3269434,3431462
totalIntermediateResultsProducedWithoutNULL,124729,1776958,28834,2120226,4072808,3638190,2609135,8184145,5779256,4823869,7274474,1480814,10304,3649645,27954,1418,402565,4824699,4525231,4525019,7092966,6495545,7293952,3218,21585,1350372,94898,93343,81891193,73831754,869200,715170,904245,2293357,60529,1698482,2506826,2157008,1272078,3647803,7243804,3269680,2635356,4170706,3335545,2615712,2610000,7964156,1570943,373487,1930988,190514,100988,6231971,6261523,4541144,143599170,5621950,5327282,10599168,37810538,36318404,36616637,12538303,51160024,2487719,163235,2504174,1088261,713910,1387828,3540259,36245969,36245716,37560786,2286317,2263275,2780997,446505,310737,1129973,5432696,4212503,4212052,5141819,968476,867683,228896,30914,1863834,38055250,37835705,38111657,1734238,1520257,1882635,1153499,708344,984679,844604,843577,898324,213122,135467,506962,349020,73987,1759465,145059,148907,5018292,3269421,3431449
numberOfPassContextCalls,124161,1776946,28822,2120210,4041472,3617281,2609135,7911004,5778827,4823854,7256366,1478382,10283,3633644,27954,1418,399949,4824681,4525201,4525014,7092662,6495527,6466361,3165,21522,1256607,94722,93319,78114707,73291692,868940,715059,892695,1814267,60037,1698482,2506782,2156572,1272028,3640605,7226213,3266949,2635286,4138833,3114936,2614941,2609849,6727459,1567208,373480,1907675,189834,100902,6227791,6244157,4540354,136062472,5194691,4994247,10081875,37727000,36315306,36595752,9368441,49343901,2485259,163172,2361704,1087843,713897,1381378,2223703,36245872,36245667,37526564,2285597,2263187,2780037,431725,310574,1019060,5174729,4211850,4212019,5141147,968214,867634,210984,30887,1751371,38041914,37835050,38070297,1733480,1519842,1881877,1121814,707130,929336,843476,843529,884720,209837,135397,472796,343654,73649,1750291,145059,126967,5018260,3269405,3431031
numberOfPassContextCallsInnerRelations,95414,439861,11009,783126,1440177,1013379,6,5370150,1255040,299929,2738472,961264,1966,2831046,3929,0,104970,300755,1277,1085,2568804,1971601,1956469,3104,21522,1174985,1652,228,42290874,37101067,1493,1244,26356,996858,27820,263043,1071349,884604,41,2303507,5889518,658205,26167,1534139,521451,5869,734,4199231,230057,72,1194207,128188,39240,3618790,3635422,16440,100230840,674610,473382,7524536,1488902,71198,353277,6826757,13240134,106398,90135,1136405,220388,70,514245,1383812,1536,1327,1285822,1013626,991200,1508074,129727,7317,725315,2587406,1602724,1602891,2532022,100743,160,181870,89,1571486,1798589,1590753,1829549,461501,247858,609898,820501,403936,629878,6776,6829,17246,74907,313,339085,270748,608,1561613,115062,101358,2409133,1889371,2051009
numberOfPassContextCallsRk,28747,1337085,17813,1337084,2601295,2603902,2609129,2540854,4523787,4523925,4517894,517118,8317,802598,24025,1418,294979,4523926,4523924,4523929,4523858,4523926,4509892,61,0,81622,93070,93091,35823833,36190625,867447,713815,866339,817409,32217,1435439,1435433,1271968,1271987,1337098,1336695,2608744,2609119,2604694,2593485,2609072,2609115,2528228,1337151,373408,713468,61646,61662,2609001,2608735,4523914,35831632,4520081,4520865,2557339,36238098,36244108,36242475,2541684,36103767,2378861,73037,1225299,867455,713827,867133,839891,36244336,36244340,36240742,1271971,1271987,1271963,301998,303257,293745,2587323,2609126,2609128,2609125,867471,867474,29114,30798,179885,36243325,36244297,36240748,1271979,1271984,1271979,301313,303194,299458,836700,836700,867474,134930,135084,133711,72906,73041,188678,29997,25609,2609127,1380034,1380022
