statistics,Query1P1,Query1P2,Query1P3,Query2P1,Query2P2,Query2P3,Query3P1,Query3P2,Query3P3,Query3P4,Query4P1,Query4P2,Query4P3
rkRelationSize,785623,327915,164092,6001173,6001173,6001173,6001173,6001173,6001173,6001173,6001173,6001173,6001173
totalTuplesRemoved,0,0,0,0,0,0,0,0,0,0,0,0,0
totalTuplesRemovedRk,0,0,0,0,0,0,0,0,0,0,0,0,0
totalTuplesRemovedInnerRelations,0,0,0,0,0,0,0,0,0,0,0,0,0
totalTuplesFiltered,0,0,0,0,0,0,0,0,0,0,0,0,0
totalIntermediateResultsProduced,785624,327916,164093,12244590,12049830,12008679,12567797,11691513,11505182,6043301,7510405,7474590,6259747
totalIntermediateResultsProducedWithoutNULL,785623,327915,164092,12244587,12049827,12008676,12567794,11691510,11505179,6043298,7510401,7474586,6259743
numberOfPassContextCalls,666888,323664,163622,12106509,12018096,12005010,11827331,11665692,11504162,6043283,7148989,7387374,6259347
numberOfPassContextCallsInnerRelations,0,0,0,6151362,6027500,6005059,6072979,5673125,5503328,42115,1238169,1408004,258273
numberOfPassContextCallsRk,666888,323664,163622,5955147,5990596,5999951,5754352,5992567,6000834,6001168,5910820,5979370,6001074
numberOfInitPassContextCalls,666888,323664,163622,5955147,5990596,5999951,5754352,5992567,6000834,6001168,5910820,5979370,6001074
totalInputSizeAfterEvaluation,785988,327946,164099,6012179,6005761,6004320,6009865,6004701,6003604,6001443,6089820,6087993,6011279
bloomFiltersProbingTime,0,0,0,0,0,0,0,0,0,0,0,0,0
buildBloomFiltersTime,0,0,0,0,0,0,0,0,0,0,0,0,0
fullReducerTime,0,0,0,0,0,0,0,0,0,0,0,0,0
deleteDanglingTupleFromHTime,0,0,0,0,0,0,0,0,0,0,0,0,0
noGoodListConstructTime,0,0,0,0,0,0,0,0,0,0,0,0,0
buildNoGoodListTime,0,0,0,0,0,0,0,0,0,0,0,0,0
noGoodListProbingTime,0,0,0,0,0,0,0,0,0,0,0,0,0
evaluationMemoryCostInBytes,183910400,208151808,132624240,1227348176,3255636816,2978402512,278823040,3423127272,713108448,234462352,368538816,266390184,463895856
noGoodListSizeInBytes,0,0,0,0,0,0,0,0,0,0,0,0,0
noGoodListSize,0,0,0,0,0,0,0,0,0,0,0,0,0
numberOfHashTableProbe,785623,327915,164092,12244587,12049827,12008676,12567794,11691510,11505179,6043298,7510401,7474586,6259743
numberOfHashTableProbeWithinFullReducer,0,0,0,0,0,0,0,0,0,0,0,0,0
numberOfDeletionPropagationTriggered,0,0,0,0,0,0,0,0,0,0,0,0,0
