statistics,Query1P1,Query1P2,Query1P3,Query2P1,Query2P2,Query2P3,Query3P1,Query3P2,Query3P3,Query3P4,Query4P1,Query4P2,Query4P3
rkRelationSize,785623,327915,164092,6001173,6001173,6001173,6001173,6001173,6001173,6001173,6001173,6001173,6001173
totalTuplesRemoved,2041,2375,2399,192991,199861,201343,17757,21311,22039,22183,98971,48081,24884
totalTuplesRemovedRk,2041,2375,2399,192991,199861,201343,17757,21311,22039,22183,98971,48081,24884
totalTuplesRemovedInnerRelations,0,0,0,0,0,0,0,0,0,0,0,0,0
totalTuplesFiltered,664847,321289,161223,5762156,5790735,5798608,5736595,5971256,5978795,5978985,5811849,5931289,5976190
totalIntermediateResultsProduced,120777,6627,2870,525685,433007,407908,777317,70153,46866,24897,624681,226472,37452
totalIntermediateResultsProducedWithoutNULL,120776,6626,2869,525682,433004,407905,777314,70150,46863,24894,624677,226468,37448
numberOfPassContextCalls,2041,2375,2399,387604,401273,404239,36851,44332,45846,24879,263265,139256,37052
numberOfPassContextCallsInnerRelations,0,0,0,194613,201412,202896,19094,23021,23807,2696,164294,91175,12168
numberOfPassContextCallsRk,2041,2375,2399,192991,199861,201343,17757,21311,22039,22183,98971,48081,24884
numberOfInitPassContextCalls,2041,2375,2399,192991,199861,201343,17757,21311,22039,22183,98971,48081,24884
totalInputSizeAfterEvaluation,119100,4282,477,57032,15165,4369,255513,12134,2770,275,179000,108623,10205
bloomFiltersProbingTime,0,0,0,0,0,0,0,0,0,0,0,0,0
buildBloomFiltersTime,0,0,0,0,0,0,0,0,0,0,0,0,0
fullReducerTime,0,0,0,0,0,0,0,0,0,0,0,0,0
deleteDanglingTupleFromHTime,0,0,0,0,0,0,0,0,0,0,0,0,0
noGoodListConstructTime,0,1,0,10,11,11,3,3,3,2,5,4,3
buildNoGoodListTime,182720,220266,215152,89885351,69024127,60735452,3438860,4978146,4228404,3508024,71518777,26053855,7479949
noGoodListProbingTime,27,12,8,263,234,224,240,226,223,229,336,295,302
evaluationMemoryCostInBytes,368010032,95050720,66019952,262044560,128443888,93003992,160611064,375157720,331321400,297480352,104994032,122205576,393944816
noGoodListSizeInBytes,16856,16856,16856,1065704,2114280,2114280,150120,150120,150120,150120,672560,426672,180912
noGoodListSize,2041,2375,2399,192991,199861,201343,17757,21311,22039,22183,98971,48081,24884
numberOfHashTableProbe,120776,6626,2869,525682,433004,407905,777314,70150,46863,24894,624677,226468,37448
numberOfHashTableProbeWithinFullReducer,0,0,0,0,0,0,0,0,0,0,0,0,0
numberOfDeletionPropagationTriggered,0,0,0,0,0,0,0,0,0,0,0,0,0
