statistics,Query3W,Query7aW,Query7bW,Query8W,Query9W,Query10W,Query11W,Query12W,Query14W,Query15W,Query16W,Query18W,Query19aW,Query19bW,Query19cW,Query20W
rkRelationSize,3241776,1,1,25,6001215,1478870,800000,30988,75983,1,29581,6001215,47244,46782,47267,4397
totalTuplesRemoved,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
totalTuplesRemovedRk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
totalTuplesRemovedInnerRelations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
totalTuplesFiltered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
totalIntermediateResultsProduced,3393109,211510,218574,491465,12960647,1708283,1600002,30989,75984,2,29582,6001616,47245,46783,47268,4398
totalIntermediateResultsProducedWithoutNULL,3393107,211505,218569,491458,12960642,1708280,1600000,30988,75983,1,29581,6001614,47244,46782,47267,4397
numberOfPassContextCalls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
numberOfPassContextCallsInnerRelations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
numberOfPassContextCallsRk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
numberOfInitPassContextCalls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
totalInputSizeAfterEvaluation,3999223,3488452,3488452,6619980,8321904,1685964,810001,1530988,275983,10001,829261,6151272,47332,46941,47505,4398
bloomFiltersProbingTime,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
buildBloomFiltersTime,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fullReducerTime,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deleteDanglingTupleFromHTime,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
noGoodListConstructTime,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
buildNoGoodListTime,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
noGoodListProbingTime,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evaluationMemoryCostInBytes,755857976,820651008,892703744,1429820416,3805036432,88543160,59213240,532246144,242869216,34445208,342664272,2073327736,65544320,65686712,65615648,36292192
noGoodListSizeInBytes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
noGoodListSize,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
numberOfHashTableProbe,3393107,211505,218569,491458,12960642,1708280,1600000,30988,75983,1,29581,6001614,47244,46782,47267,4397
numberOfHashTableProbeWithinFullReducer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
