statistics,Query3W,Query7aW,Query7bW,Query8W,Query9W,Query10W,Query11W,Query12W,Query14W,Query15W,Query16W,Query18W,Query19aW,Query19bW,Query19cW,Query20W
rkRelationSize,3241776,1,1,25,6001215,1478870,800000,30988,75983,1,29581,6001215,47244,46782,47267,4397
totalTuplesRemoved,45643,140390,145187,478667,0,0,9604,0,0,0,0,0,0,0,0,0
totalTuplesRemovedRk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
totalTuplesRemovedInnerRelations,45643,140390,145187,478667,0,0,9604,0,0,0,0,0,0,0,0,0
totalTuplesFiltered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
totalIntermediateResultsProduced,3317940,151182,155648,491465,12960647,1708283,841286,30989,75984,2,29582,6001616,47245,46783,47268,4398
totalIntermediateResultsProducedWithoutNULL,3317938,151177,155643,491458,12960642,1708280,841284,30988,75983,1,29581,6001614,47244,46782,47267,4397
numberOfPassContextCalls,3256900,140390,145187,478687,11363622,1364165,777924,0,0,0,0,6000816,47219,46742,47211,4199
numberOfPassContextCallsInnerRelations,45643,140390,145187,478667,5681811,0,9604,0,0,0,0,0,0,0,0,0
numberOfPassContextCallsRk,3211257,0,0,20,5681811,1364165,768320,0,0,0,0,6000816,47219,46742,47211,4199
numberOfInitPassContextCalls,3256900,140390,145187,478687,5681811,1364165,777924,0,0,0,0,6000816,47219,46742,47211,4199
totalInputSizeAfterEvaluation,3953580,3348062,3343265,6141313,8321904,1685964,800397,1530988,275983,10001,829261,6151272,47332,46941,47505,4398
bloomFiltersProbingTime,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
buildBloomFiltersTime,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fullReducerTime,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deleteDanglingTupleFromHTime,46007241,193052646,192775447,971466570,0,0,1386652,0,0,0,0,0,0,0,0,0
noGoodListConstructTime,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
buildNoGoodListTime,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
noGoodListProbingTime,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evaluationMemoryCostInBytes,723689344,925071872,746506104,1699695432,5074845984,459439312,56597184,452687872,309178608,41246624,264893464,1980365088,69889304,65824704,69915528,36322984
noGoodListSizeInBytes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
noGoodListSize,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
numberOfHashTableProbe,3317938,151177,155643,491458,12960642,1708280,841284,30988,75983,1,29581,6001614,47244,46782,47267,4397
numberOfHashTableProbeWithinFullReducer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
numberOfDeletionPropagationTriggered,45643,28565,29553,105640,0,0,9604,0,0,0,0,0,0,0,0,0
