statistics,Query3W,Query7aW,Query7bW,Query8W,Query9W,Query10W,Query11W,Query12W,Query14W,Query15W,Query16W,Query18W,Query19aW,Query19bW,Query19cW,Query20W
rkRelationSize,3241776,1,1,25,6001215,1478870,800000,30988,75983,1,29581,6001215,47244,46782,47267,4397
totalTuplesRemoved,863981,140390,145187,478671,189336,596499,19208,0,0,0,0,1499943,42028,41584,42057,24
totalTuplesRemovedRk,818338,0,0,4,189336,596499,9604,0,0,0,0,1499943,42028,41584,42057,24
totalTuplesRemovedInnerRelations,45643,140390,145187,478667,0,0,9604,0,0,0,0,0,0,0,0,0
totalTuplesFiltered,2392919,0,0,16,5492475,767666,758716,0,0,0,0,4500873,5191,5158,5154,4175
totalIntermediateResultsProduced,925021,151182,155648,491449,1975697,940617,82570,30989,75984,2,29582,1500743,42054,41625,42114,223
totalIntermediateResultsProducedWithoutNULL,925019,151177,155643,491442,1975692,940614,82568,30988,75983,1,29581,1500741,42053,41624,42113,222
numberOfPassContextCalls,863981,140390,145187,478671,378672,596499,19208,0,0,0,0,1499943,42028,41584,42057,24
numberOfPassContextCallsInnerRelations,45643,140390,145187,478667,189336,0,9604,0,0,0,0,0,0,0,0,0
numberOfPassContextCallsRk,818338,0,0,4,189336,596499,9604,0,0,0,0,1499943,42028,41584,42057,24
numberOfInitPassContextCalls,863981,140390,145187,478671,189336,596499,19208,0,0,0,0,1499943,42028,41584,42057,24
totalInputSizeAfterEvaluation,742323,3348062,3343265,6141293,2640093,321799,32077,1530988,275983,10001,829261,150456,113,199,294,199
bloomFiltersProbingTime,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
buildBloomFiltersTime,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fullReducerTime,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deleteDanglingTupleFromHTime,40935671,192667131,206267735,977405287,0,0,1423317,0,0,0,0,0,0,0,0,0
noGoodListConstructTime,38,0,0,0,16,24,1,0,0,0,0,51,4,5,5,0
buildNoGoodListTime,734300664,0,0,8036,216880254,360975988,1423287,0,0,0,0,1410989195,6123276,5793649,5783659,4204
noGoodListProbingTime,102,0,0,0,718,54,30,0,1,0,0,199,4,4,4,1
evaluationMemoryCostInBytes,694465472,951090048,949941632,1726973376,989529920,141381008,242005720,464644656,329917816,57435272,284048384,512801248,82588344,74208576,86655656,49252000
noGoodListSizeInBytes,8389080,584,584,800,10138064,4194776,66008,584,584,584,584,8389080,262616,262616,262616,600
noGoodListSize,818338,0,0,4,189336,596499,9604,0,0,0,0,1499943,42028,41584,42057,24
numberOfHashTableProbe,970662,179742,185196,597082,1975692,940614,92172,30988,75983,1,29581,1500741,42053,41624,42113,222
numberOfHashTableProbeWithinFullReducer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
