Algorithm,Q1P1,Q1P2,Q1P3,Q2P1,Q2P2,Q2P3,Q3P1,Q3P2,Q3P3,Q3P4,Q4P1,Q4P2,Q4P3
Yannakakis1Pass,253.2223844987301,86.26133007478153,57.89497363010069,1711.4820084799994,1520.9943980799999,1425.9035683699997,2037.89007847,1443.3663265500002,1421.5406640900005,848.5427003533335,1933.65421383,1317.3575724700004,1173.0037391199999
HASH_JOIN,172.20137079282517,74.16925867358121,48.83511947407163,2864.8115794200003,2775.7644159800006,2624.5893185000004,2835.62617042,2599.1130878000004,2620.0788667400006,902.5229259800003,2985.290858079999,1520.0154932600003,1357.28560475
LIP,125.98071779297828,48.88273685721422,35.531907113155484,717.6819320466668,685.0084095783334,651.0967765116668,866.943719416667,615.4469445000001,589.0155153199998,450.219708964,828.64837648,593.832073305,522.2775502630002
TTJHP,124.90146505292296,47.096626302843646,33.459960026292954,570.1855267799998,480.66214914100004,459.54056046399995,706.0375416799999,479.54049587199995,465.9081742369999,400.6236532946668,725.8208950600002,592.9892663083334,528.6425827999999
YannakakisB,262.8959402719445,84.98662338667042,55.30190148687072,1543.05915455,1369.5531409400003,1290.1159742300001,1961.7807774799994,1345.7059347800002,1269.4711121799994,868.6257985133334,1889.3915463699998,1201.3097252600005,1080.27700093
Yannakakis,302.9981107754047,89.0382099012026,59.249238868134036,1906.90677788,1595.69831767,1563.6875850799995,2477.4909542200003,1551.46382208,1489.5563160800004,938.1924616133335,2272.4794342399996,1442.3922351499998,1190.97656463
YannakakisB perf improv over HJ,-0.5266773955489217,-0.1458470113702553,-0.1324207267729229,0.46137499386175956,0.5066032502414398,0.5084503449220298,0.308166641306802,0.4822441774093551,0.5154836259720982,0.03755818992615603,0.36709967765580837,0.20967271018828018,0.20409013611473653
Yannakakis perf improv over HJ,-0.7595569035274441,-0.20047323505092082,-0.21325061771563072,0.33436921590980667,0.42513193537477173,0.4042162809785133,0.12629845920308827,0.40307952379508627,0.43148416828636854,-0.03952202720457392,0.23877453076664254,0.05106741244033028,0.12253061517633396
Yannakakis1Pass perf improv over HJ,-0.4705015606605188,-0.16303346719990153,-0.185519238072905,0.4025847909947013,0.45204485318578325,0.4567136434187239,0.28132625529825855,0.444669670848479,0.45744355937699915,0.05981036500325196,0.3522727580810545,0.13332622048171128,0.1357723569638412
TTJHP perf improv over HJ,0.274677869996799,0.365011500113331,0.31483816592159497,0.800969274602193,0.8268361153512016,0.8249095364273464,0.7510117698005924,0.8154984105451512,0.8221778053510655,0.5561069511229851,0.7568676120467489,0.609879459164893,0.6105148533588322
LIP perf improv over HJ,0.26841048237330695,0.3409299522279565,0.2724107671729833,0.749483722698452,0.7532181025036712,0.7519243212939005,0.694267273852865,0.7632088625197373,0.7751916849537912,0.5011542687681523,0.7224229008583276,0.6093249865293153,0.6152043840771456
