Algorithm,Q1P1,Q1P2,Q1P3,Q2P1,Q2P2,Q2P3,Q3P1,Q3P2,Q3P3,Q3P4,Q4P1,Q4P2,Q4P3
TTJHP_VANILLA,91.59120026576169,51.46449446485015,37.11729806545651,879.9328508066666,767.1704485733336,739.7313768133333,839.9223421899999,715.7163565266662,695.3464500350002,408.3896410593333,559.6876773150001,536.8564575150001,481.2874001370001
HASH_JOIN,91.99126773002689,48.71507653509223,36.81008410146221,826.4524882766666,755.4396928866668,725.8561530800001,837.80816196,690.9838966300002,680.5386670633333,421.3103878100001,545.21397586,526.4022800549998,460.875028955
Yannakakis1Pass,163.6135361975974,60.34267536160435,44.664648644817134,3938.2714178600004,3564.1938988199995,3525.1760408,4116.4367245600015,3478.1852626599994,3387.078159000001,510.6601066410001,1493.71441929,1392.8785789499996,648.613830085
TTJHP_NO_DP,90.15078102782466,51.91558874975792,37.76931423088817,521.81764617,450.47279252000016,446.3770739920001,565.3229793716666,485.1530991816666,468.2175919829999,494.10600414166663,646.7427440499999,551.2390781500002,548.089025348
TTJHP_NO_NG,90.11393532989013,51.72589009585204,36.69029461626383,861.8978369166664,774.7758412633333,739.4784001400003,856.8166609833336,712.7005785333333,692.8273176933332,421.3803422370001,563.5671527750002,535.0797758499998,486.46569899700023
TTJHP,92.79699151081176,53.281168435501996,37.04521115878986,519.3469710340001,450.0655522680001,447.72157773200007,569.6383433049999,483.4639390599998,460.52218737299995,497.1536251299999,643.2186176133334,546.1543514450001,554.2838112740001
TTJHP_NO_NG perf improv over HJ,0.02040772397708772,-0.06180455363938405,0.00325425730808432,-0.042888549726447144,-0.025595886155756174,-0.01876714415411011,-0.022688366963225053,-0.031428636773226694,-0.018057240866309613,-1.6604011917104253E-4,-0.03366233759149436,-0.016484533072488556,-0.0555262672834004
Yannakakis1Pass perf improv over HJ,-0.7785768175058236,-0.23868583718915234,-0.21338078233412452,-3.765272624530605,-3.718038954506869,-3.8565766451682517,-3.913340441718608,-4.033670508999512,-3.9770546817213956,-0.21207575558591338,-1.7396847575924133,-1.6460344715917041,-0.4073529467536652
TTJHP perf improv over HJ,-0.008758698522880309,-0.09373057018848265,-0.006387571858829638,0.37159488488327785,0.40423364498068515,0.38318139781250227,0.32008499180484645,0.30032531667104934,0.323297544046616,-0.18001748714110294,-0.17975445621830327,-0.037522769445330985,-0.20267703054079012
TTJHP_VANILLA perf improv over HJ,0.00434897218113475,-0.05643874802859761,-0.008345918557194952,-0.06471075263082356,-0.01552838141432783,-0.019115665926997996,-0.0025234657836871407,-0.03579310605831592,-0.021758914942431738,0.030667999471434167,-0.026546827660038998,-0.01985967359204456,-0.04429046899825233
TTJHP_NO_DP perf improv over HJ,0.020007189243261985,-0.06569859768895535,-0.026058895350034198,0.36860539042225715,0.4036945678632995,0.3850336983465611,0.3252357699056921,0.2978807443302104,0.31198973013031456,-0.1727838155381429,-0.18621820548501583,-0.04718216283638702,-0.1892356732599534
