Algorithm,Q1P1,Q1P2,Q1P3,Q2P1,Q2P2,Q2P3,Q3P1,Q3P2,Q3P3,Q3P4,Q4P1,Q4P2,Q4P3
TTJHP_VANILLA,91.59120026576169,51.46449446485015,37.11729806545651,879.9328508066666,767.1704485733336,739.7313768133333,839.9223421899999,715.7163565266662,695.3464500350002,408.3896410593333,559.6876773150001,536.8564575150001,481.2874001370001
HASH_JOIN,91.99126773002689,48.71507653509223,36.81008410146221,826.4524882766666,755.4396928866668,725.8561530800001,837.80816196,690.9838966300002,680.5386670633333,421.3103878100001,545.21397586,526.4022800549998,460.875028955
Yannakakis1Pass,163.6135361975974,60.34267536160435,44.664648644817134,3938.2714178600004,3564.1938988199995,3525.1760408,4116.4367245600015,3478.1852626599994,3387.078159000001,510.6601066410001,1493.71441929,1392.8785789499996,648.613830085
TTJHP_NO_DP,90.15078102782466,51.91558874975792,37.76931423088817,521.81764617,450.47279252000016,446.3770739920001,565.3229793716666,485.1530991816666,468.2175919829999,494.10600414166663,646.7427440499999,551.2390781500002,548.089025348
TTJHP_NO_NG,91.02008162218114,50.89478362858814,37.40900141804434,876.0726485400003,785.6872569833333,747.21242266,851.7894672566667,720.2157071333332,697.7363242199999,421.40614566233336,565.3236390850002,536.0476179049999,475.97316770800023
TTJHP,93.72456528561233,53.958257796117906,37.83308572476024,523.4370492859999,455.255646252,449.95799912400014,575.52769499,491.9570261609999,460.373056596,498.6561668836666,651.9846441900002,552.3887257350001,551.547716282
TTJHP_NO_NG perf improv over HJ,0.010557372800818006,-0.04474399402668987,-0.01627046857408132,-0.0600399429697435,-0.04003968070711952,-0.029422178884038627,-0.016687955466987026,-0.04230461903077563,-0.025270653952519904,-2.272857615284343E-4,-0.036883983381533765,-0.01832313083634892,-0.03275972401289377
Yannakakis1Pass perf improv over HJ,-0.7785768175058236,-0.23868583718915234,-0.21338078233412452,-3.765272624530605,-3.718038954506869,-3.8565766451682517,-3.913340441718608,-4.033670508999512,-3.9770546817213956,-0.21207575558591338,-1.7396847575924133,-1.6460344715917041,-0.4073529467536652
TTJHP perf improv over HJ,-0.018841979226465987,-0.10762953964054055,-0.02779134164644281,0.36664592736906126,0.39736334939935597,0.380100317101799,0.3130555166189969,0.2880340214000282,0.32351668042228066,-0.1835838405877316,-0.19583259611345089,-0.04936613435125165,-0.19674029103419555
TTJHP_VANILLA perf improv over HJ,0.00434897218113475,-0.05643874802859761,-0.008345918557194952,-0.06471075263082356,-0.01552838141432783,-0.019115665926997996,-0.0025234657836871407,-0.03579310605831592,-0.021758914942431738,0.030667999471434167,-0.026546827660038998,-0.01985967359204456,-0.04429046899825233
TTJHP_NO_DP perf improv over HJ,0.020007189243261985,-0.06569859768895535,-0.026058895350034198,0.36860539042225715,0.4036945678632995,0.3850336983465611,0.3252357699056921,0.2978807443302104,0.31198973013031456,-0.1727838155381429,-0.18621820548501583,-0.04718216283638702,-0.1892356732599534
