Algorithm,Query3W,Query7W,Query8W,Query9W,Query10W,Query11W,Query12W,Query14W,Query15W,Query16W,Query18W,Query19W,Query20W
Yannakakis1Pass,1622.5134275900002,1529.5236861733333,1180.03229622,3795.4815049000003,694.2527946166665,367.7597473918094,255.4614782158334,159.08148123692305,76.23039278675475,219.01594889244444,2448.00564142,162.30164452486565,123.52638805382358
HASH_JOIN,908.2477133366666,2028.5661706133337,1534.4843793900006,5808.55962168,536.61140237,186.08141205846312,195.617361885091,86.16312103056023,57.54163085776749,127.35175053594966,1259.7602539700001,131.1282137226559,114.72995101092192
TTJHP,818.9398844000002,2076.520566596667,649.5927299866667,3735.06467886,511.0573307950001,187.67934970624015,140.1451025844991,82.90275838256156,56.10714684623553,85.31167576304439,1259.3406349,121.10740968623183,112.95168552111456
YannakakisB,1067.68512634,1238.730697305,955.6239527500001,3381.6054065999992,644.1201679549999,230.51861936750367,260.2384853777778,188.9446290037879,73.34846016434801,244.50508277533336,1515.67880497,161.1509013227923,122.06260424971406
YannakakisVanilla,1432.61455892,1579.2128984933333,1156.8540287133335,16973.725445440003,1156.0548989233334,320.0205741242857,686.064077325,251.78317508667456,60.607985913673346,1356.1028661900002,2232.0192072199998,633.2836512634243,226.2568270353334
PTO,1656.5372709900005,3570.127285209999,2320.2309311999998,5150.511394760001,913.4917653733334,341.14959142307146,511.28567582599993,246.89723533499998,80.5855385064185,1158.56727484,2453.38088194,743.6945997054365,236.98233615333322
Yannakakis,1420.8259926599994,1550.8255474800003,1171.54870587,4255.141905580001,807.4308788866666,328.94735265604754,334.13880200838094,224.73622178811104,74.47440610084614,292.91522388035713,2126.515151950001,161.31390911897947,122.40575773119282
YannakakisB perf improv over HJ,-0.17554397403061062,0.3893565242042503,0.37723448632961215,0.4178237589266678,-0.2003475235713896,-0.23880519186451177,-0.3303445198828843,-1.1928712277817006,-0.2747024905437969,-0.9199192924035459,-0.2031486151380788,-0.22895673438849865,-0.06391228423076803
YannakakisVanilla perf improv over HJ,-0.5773390209339978,0.221512750547417,0.2460959236527292,-1.922191825678587,-1.1543614127793353,-0.7197879712119851,-2.50717375346267,-1.9221686967139038,-0.053289331744616954,-9.648482337172043,-0.7717809402114643,-3.8294995659962057,-0.9720816146238438
Yannakakis perf improv over HJ,-0.5643595593984522,0.235506551402703,0.23651962730586898,0.26743595956250293,-0.5046845358122551,-0.7677604066799469,-0.7081244670125949,-1.6082646392115005,-0.2942699918417921,-1.3000486655868242,-0.6880316276438435,-0.23019985203312657,-0.0669032510921249
Yannakakis1Pass perf improv over HJ,-0.786421703864584,0.24600749616617915,0.23099100123189586,0.34657096559125283,-0.2937719764254486,-0.9763379013711834,-0.30592436046599936,-0.8462827174110862,-0.3247867961056318,-0.719771797173838,-0.9432313677982546,-0.23773244458392043,-0.0766707992585499
TTJHP perf improv over HJ,0.0983298142404043,-0.023639552250264633,0.5766703534350103,0.3569723094656445,0.04762118632242558,-0.00858730396604573,0.28357533690275016,0.03783942142534849,0.02492949869769493,0.33010990894104697,3.330943873469543E-4,0.07641989280521018,0.015499575081646136
PTO perf improv over HJ,-0.8238826772316464,-0.7599264628033193,-0.5120590097648011,0.11328939871149554,-0.7023338701689941,-0.8333351389008644,-1.6137029499781208,-1.8654630006662682,-0.40047366237518345,-8.097380051426558,-0.9474982435812146,-4.671507134829089,-1.06556643723114
