Query,Runtime,Build No-Good List ,No-good List Probing Time,Delete Tuple From H,ProbeHashTable,HashTableBuildTime,Materialization
Q1a,2824,15,15,12,16,1275,1491
Q1aOptJoinTreeOptOrdering,3731,456,436,16,179,421,2223
Q2a,7079,175,365,495,380,1792,3872
Q2aOptJoinTreeOptOrdering,5272,85,52,29,34,1785,3287
Q2b,6818,155,424,449,215,1825,3750
Q2bOptJoinTreeOptOrdering,5634,41,58,30,33,1774,3698
Q2c,6585,149,292,399,200,1769,3776
Q2cOptJoinTreeOptOrdering,5139,65,107,0,12,1862,3093
Q7a,33628,699,1531,123,428,663,30184
Q7aOptJoinTreeOptOrdering,24885,766,1167,0,202,531,22219
Q8c,33806,247,480,167,1063,3315,28534
Q8cOptJoinTreeOptOrdering,29699,249,523,235,1048,2877,24767
