Query,Runtime,Total Tuple Fetching Time,R_k tupleFetchingTime,No-good List Probing Time,PassContextWorkTime,JoinTime,HashTableBuildTime (Raw),HashTableBuildTime,Other
Q1a,2824,542,6,15,9,47,1275,739,1472
Q1aOptJoinTreeOptOrdering,3731,438,238,436,9,375,421,221,2252
Q2a,7079,1013,345,365,307,1074,1792,1124,3196
Q2aOptJoinTreeOptOrdering,5272,1096,395,52,20,97,1785,1084,2923
Q2b,6818,1067,317,424,268,857,1825,1075,3127
Q2bOptJoinTreeOptOrdering,5634,1031,436,58,20,95,1774,1179,3251
Q2c,6585,975,314,292,237,814,1769,1108,3159
Q2cOptJoinTreeOptOrdering,5139,1117,337,107,0,33,1862,1082,2800
Q7a,33628,4912,4761,1531,81,857,663,512,25735
Q7aOptJoinTreeOptOrdering,24885,4665,4517,1167,0,474,531,383,18196
Q8c,33806,5694,4492,480,106,3251,3315,2113,22162
Q8cOptJoinTreeOptOrdering,29699,5529,4641,523,148,2829,2877,1989,18681
