query,TTJ-eps,DuckDB,YA+,RPT,TTJ
Query1a,0.022846602,0.165988,0.202,0.15597,0.364536662
Query1b,0.017858936,0.108436,0.389,0.105224,0.2698106979
Query1c,0.019460699,0.103791,0.216,0.109248,0.2164998136
Query1d,0.017345112,0.102237,0.498,0.106017,0.3104347542
Query2a,0.029571777,0.147703,0.707,0.066193,0.7047730267
Query2b,0.02389316,0.13967,0.722,0.062164,0.7036194706
Query2c,0.019740077,0.058686,0.731,0.025603,0.6570366315
Query2d,0.04210334,0.185502,0.719,0.104648,0.7545093045
Query3a,0.12799707,0.659415,0.686,0.608204,0.8050409021
Query3b,0.032935522,0.404339,0.393,0.372315,0.49390671
Query3c,0.14762683,0.85344,0.85,0.660158,0.6123289852
Query4a,0.01563654,0.309695,0.267,0.102905,0.4408842567
Query4b,0.01017613,0.091618,0.173,0.078216,0.288589603
Query4c,0.01734159,0.611392,0.412,0.132491,0.5218843967
Query5a,0.1441079,0.187817,0.264,0.654782,0.290855529
Query5b,0.14653955,0.136954,0.207,0.37764,0.263876245
Query5c,0.1733786,0.798605,0.865,0.708957,0.4039350156
Query6a,0.13784365,0.357159,0.455,0.246956,3.381520797
Query6b,0.14047126,0.40015,0.367,0.196432,3.094473875
Query6c,0.10723197,0.282656,0.355,0.194145,3.063003109
Query6d,0.26166162,1.691754,0.595,0.304011,2.464470515
Query6e,0.15699045,0.366163,0.593,0.298214,3.328002222
Query6f,0.5503596,1.888311,1.428,0.533988,4.464339742
Query7a,0.15137793,0.366212,0.488,0.286518,2.383334338
Query7b,0.12132858,0.311822,0.441,0.241794,2.414233515
Query7c,0.22727382,2.554838,1.165,0.655634,3.657512565
Query8a,0.31884274,0.586187,0.721,0.587989,0.4412168855
Query8b,0.26687297,0.565619,0.811,0.597506,0.222922709
Query8c,0.4598729,7.930429,1.582,1.564687,8.522237163
Query8d,0.30524236,6.451542,1.421,0.363028,6.437777927
Query9a,0.5254866,1.004268,1.778,0.913087,0.5652690193
Query9b,0.41319507,0.584738,0.921,0.661268,0.4715356396
Query9c,0.54385275,1.059189,2.096,0.754217,1.419934169
Query9d,0.60717136,2.254262,2.326,1.246046,2.902024666
Query10a,0.25463015,0.916422,1.714,0.819743,0.5856718795
Query10b,0.21719122,0.820891,1.368,0.757087,1.212576724
Query10c,0.31112376,1.282444,1.824,1.083648,1.575768464
Query11a,0.025444057,0.069369,0.377,0.126509,0.543712711
Query11b,0.025394844,0.070494,0.127,0.107969,0.4174830487
Query11c,0.035671804,0.237447,0.879,0.254761,0.70761874
Query11d,0.05079138,0.695352,0.911,0.374985,0.6409860646
Query12a,0.20789437,0.397118,0.672,0.342533,0.4650623543
Query12b,0.10380562,0.362483,0.564,0.336132,1.249044759
Query12c,0.28236127,0.552649,0.513,0.38733,0.6249159029
Query13a,0.22754845,0.518302,0.554,0.376496,2.323033017
Query13b,0.08083622,0.297596,0.363,0.191856,1.193768668
Query13c,0.05057485,0.232902,0.561,0.147896,1.196571008
Query13d,0.20393987,0.661006,0.542,0.232622,2.689828619
Query14a,0.19330408,0.648463,0.783,0.585755,0.7063410297
Query14b,0.17031673,0.601041,0.655,0.605575,0.5216577108
Query14c,0.2141791,0.761696,0.846,0.607939,0.7460269741
Query15a,0.15698858,0.500142,0.742,0.542569,0.5598860686
Query15b,0.1493597,0.427377,0.623,0.457534,0.5515378957
